TimeElapsed,loss_vf_loss,EpisodesSoFar,EpRewMean,loss_pol_entpen,EpExecMean,EpLenMean,ev_tdlam_before,loss_ent,TimestepsSoFar,loss_pol_surr,EpThisIter,loss_kl
3648.7463207244873,7.287775,802,79.54214953959246,-0.09624019,0.0078270254,6.41,-0.2566647529602051,3.2080064,9461,-0.031381242,0,0.047072187
3649.1978776454926,0.8448789,802,79.54214953959246,-0.09187506,0.0078270254,6.41,-0.02653372287750244,3.0625021,9461,-0.034287132,0,0.06826807
3649.6502315998077,3.9339561,802,79.54214953959246,-0.09040908,0.0078270254,6.41,-0.13855648040771484,3.0136359,9461,-0.03395789,0,0.057446625
3650.1049897670746,0.307266,802,79.54214953959246,-0.08831784,0.0078270254,6.41,-0.0368121862411499,2.943928,9461,-0.03158737,0,0.04671112
3650.5610625743866,0.8404597,802,79.54214953959246,-0.076168336,0.0078270254,6.41,-0.2250978946685791,2.5389445,9461,-0.031910192,0,0.08765598
3651.022117614746,0.6987024,802,79.54214953959246,-0.078224994,0.0078270254,6.41,-0.09341466426849365,2.6074998,9461,-0.019261122,0,0.039268684
3651.4860813617706,0.29062173,802,79.54214953959246,-0.0789442,0.0078270254,6.41,-0.3895763158798218,2.6314733,9461,-0.016199116,0,0.055855304
3651.944873571396,0.9750534,802,79.54214953959246,-0.08117558,0.0078270254,6.41,-0.3355485200881958,2.7058527,9461,-0.016598593,0,0.031447027
3724.578393936157,441.7935,818,34.61567818302507,-0.09169507,0.008180070279999998,51.51,0.4356892704963684,3.0565023,14077,-0.09759454,16,0.10297838
3827.6978209018707,32.13878,835,34.66933596299554,-0.10411473,0.008078178160000001,53.01,0.37679582834243774,3.470491,14326,-0.062033884,17,0.08616683
3899.2325341701508,15.434301,847,35.60988114679313,-0.10229474,0.00734916294,54.69,0.856389731168747,3.4098248,14572,-0.099938855,12,0.088744074
3986.0399804115295,32.189713,866,36.24978602974643,-0.08987637,0.0068580481100000016,55.91,0.8118240237236023,2.9958792,14834,-0.06952438,19,0.12396834
4102.395210266113,26.756922,893,34.94380754896214,-0.079219565,0.00768150543,56.84,0.9394062496721745,2.6406522,15096,-0.07537874,27,0.10692185
4235.208139896393,10.1422615,931,79.76807512855947,-0.080084726,0.00738814338,10.88,0.982258815318346,2.6694908,15359,-0.07014946,38,0.09912499
4370.608553886414,31.444498,967,82.12824885209237,-0.077667445,0.00762396875,7.6,0.9595569111406803,2.5889149,15614,-0.033293817,36,0.18441503
4379.319183349609,29.230045,970,82.01586487189394,-0.011241832,0.007660786270000001,7.67,0.7669489830732346,0.37472773,15649,-0.027556065,3,0.008889124
4379.512847185135,109.86716,970,82.01586487189394,-0.0010025603,0.007660786270000001,7.67,-0.12135326862335205,0.033418674,15649,3.8929284e-07,0,3.225952e-05
4379.731095075607,38.1233,970,82.01586487189394,-0.0010633684,0.007660786270000001,7.67,-0.017670154571533203,0.035445616,15649,-0.0002053231,0,5.7507827e-06
4379.949107646942,12.282064,970,82.01586487189394,-0.0012152691,0.007660786270000001,7.67,-0.06558585166931152,0.04050897,15649,1.7904676e-07,0,3.9384813e-05
4380.166073083878,38.093094,970,82.01586487189394,-0.0015802011,0.007660786270000001,7.67,-0.11847531795501709,0.05267337,15649,4.7683716e-07,0,0.00021495578
4392.603199958801,134.20644,974,66.97322905313294,-0.00803579,0.007549665999999999,22.28,0.3753920793533325,0.2678597,17150,-0.01883343,4,0.009069289
4446.807835817337,135.73715,987,65.9833866346977,-0.04332354,0.007410302590000002,23.68,0.8239563554525375,1.444118,17393,-0.028678756,13,0.061898034
4551.113530397415,35.27629,1008,66.75826223992242,-0.086146794,0.007111841459999999,24.57,0.6261632740497589,2.8715596,17658,-0.06280791,21,0.04818862
4634.651911973953,13.858474,1030,65.87231566021396,-0.0633294,0.0070717435200000015,25.67,0.8826436102390289,2.11098,17920,-0.071643256,22,0.06268956
4746.479131698608,99.36162,1062,65.67534699048683,-0.0718027,0.007867371929999999,26.0,0.8660239428281784,2.3934233,18170,-0.04852616,32,0.056031853
4869.3063271045685,34.739338,1087,81.1568270664438,-0.078510836,0.0074248666699999995,10.37,0.8399310559034348,2.6170282,18430,-0.074383065,25,0.08414474
