EpThisIter,loss_ent,EpRewMean,TimeElapsed,EpExecMean,loss_kl,TimestepsSoFar,EpisodesSoFar,loss_vf_loss,ev_tdlam_before,loss_pol_surr,EpLenMean,loss_pol_entpen
0,2.1632574,81.12343917943528,7167.826191663742,0.05911560757999999,0.029905574,8832,369,10.251936,-0.25628411769866943,-0.029239845,11.59,-0.064897716
0,2.7865772,81.12343917943528,7186.452447414398,0.05911560757999999,0.09707667,8832,369,4.8591948,-0.27368104457855225,-0.019697389,11.59,-0.08359732
8,2.4374995,70.84410540243691,7270.362340211868,0.06170901559,0.13488361,9973,377,148.25684,0.8321453928947449,-0.08721926,21.83,-0.07312498
12,3.0626419,70.75856414349224,7406.126153469086,0.057831788589999995,0.045375295,10210,389,103.78349,0.5560507774353027,-0.04793493,22.64,-0.09187925
13,3.2479458,71.0300854475375,7566.902334690094,0.0537084926,0.08006827,10489,402,56.251904,0.8203326463699341,-0.065472566,23.67,-0.097438365
12,3.198853,69.82389284227332,7725.917597055435,0.052905397449999995,0.089817986,10752,414,106.27164,0.4386606216430664,-0.098189,24.85,-0.095965594
14,3.2747488,69.90111214448284,7871.025079011917,0.04980422307000001,0.08291185,11008,428,71.53544,0.8994943425059319,-0.08047918,25.76,-0.09824246
11,3.213862,69.46639030634601,8015.486473083496,0.0467715092,0.086358845,11257,439,38.857315,0.8733751177787781,-0.09198345,27.18,-0.096415855
22,2.963954,69.27328343067194,8292.023496627808,0.04407447837,0.053554486,11514,461,82.3441,0.8383986502885818,-0.0642489,27.59,-0.08891862
16,3.158381,79.40943110087822,8477.952694416046,0.03982639282,0.04983289,11760,477,88.17033,0.8286667019128799,-0.071374916,17.87,-0.09475142
25,2.757382,81.38879199760451,8714.869443893433,0.041363067950000006,0.033491526,12027,502,68.00164,0.9127077236771584,-0.057040848,15.38,-0.08272146
23,2.6468685,83.32361459307387,8935.437378406525,0.042471823449999994,0.059009697,12276,525,60.800217,0.9265444353222847,-0.04763751,13.03,-0.07940605
30,2.7662697,85.96497801774984,9205.750138521194,0.04305318228,0.04201216,12541,555,55.138046,0.9487029239535332,-0.06103085,10.82,-0.08298809
27,2.9150012,84.81029236350359,9470.99989938736,0.04725969835,0.045003116,12796,582,66.360954,0.9192260578274727,-0.05095204,9.79,-0.08745004
35,2.650446,83.30480286460805,9736.026407718658,0.06043430104,0.03955128,13052,617,100.39816,0.8908562287688255,-0.04311895,8.66,-0.07951338
30,2.7580767,83.42740043982161,9990.456633090973,0.05975031953999999,0.08432856,13307,647,66.29222,0.9303540214896202,-0.06688046,8.4,-0.0827423
22,2.809136,83.29135833818471,10189.16956281662,0.05861449069,0.16427082,13568,669,44.352314,0.8913215398788452,-0.076561645,9.04,-0.084274076
32,2.4384906,84.00876011272716,10462.699665784836,0.05706576163000001,0.060403325,13813,701,49.098137,0.9323403015732765,-0.049237628,8.76,-0.07315472
39,2.3749585,87.03103485448005,10795.233586788177,0.046667482629999986,0.045658022,14078,740,45.107872,0.9670162461698055,-0.04906659,8.3,-0.07124875
36,2.6150436,88.39601353281633,11121.550797700882,0.04310088244,0.061299644,14334,776,44.233574,0.9457178860902786,-0.055242542,7.15,-0.078451306
26,2.472231,87.97631810501186,11365.425529718399,0.039655394680000004,0.07276391,14590,802,21.767975,0.9614534638822079,-0.06837799,7.65,-0.074166924
33,2.4314725,88.70710121848498,11639.899053573608,0.03757988214000001,0.041520786,14844,835,22.150507,0.9795571658760309,-0.052766573,7.98,-0.07294418
39,2.3252215,87.68895493528038,11981.381283044815,0.037005232230000004,0.053520083,15102,874,42.991665,0.962510846555233,-0.051599212,7.83,-0.06975665
34,2.2730265,89.15200145741504,12319.235110521317,0.03817787923,0.04271428,15356,908,16.876503,0.9834501855075359,-0.047944665,7.01,-0.06819079
34,2.3374338,88.50768336713664,12621.628524541855,0.04256163856,0.040627025,15613,942,38.62743,0.9449502639472485,-0.029381448,7.25,-0.07012302
39,2.085862,88.07469594861658,12941.354690790176,0.042346347910000005,0.02336447,15870,981,23.649395,0.9452753849327564,-0.02970758,7.25,-0.062575854
40,2.3136473,87.4052452106849,13270.281020641327,0.043072449389999996,0.059689134,16122,1021,11.976682,0.9884170750156045,-0.032571416,6.52,-0.06940941
35,2.2906723,87.44488957495312,13561.734510660172,0.042980093319999996,0.025981931,16384,1056,9.784431,0.9679895229637623,-0.036767766,6.82,-0.06872017
37,2.2010183,90.26742807757944,13925.118166208267,0.03883086805,0.08658506,16634,1093,11.614222,0.9881936619058251,-0.05232045,7.01,-0.066030554
33,2.0197277,88.85059026263917,14199.477879047394,0.03953041717,0.038606603,16894,1126,20.516808,0.9715155269950628,-0.06069204,7.36,-0.06059183
39,1.943534,87.68305665054184,14537.859633684158,0.049324386180000006,0.048196647,17152,1165,34.92569,0.9689035434275866,-0.0454866,7.01,-0.05830602
44,1.6685138,86.3179371395587,14873.398059606552,0.05146031631,0.033489704,17408,1209,17.766743,0.9847971117123961,-0.042305894,6.55,-0.05005541
42,1.8060546,88.84350461837732,15192.982813119888,0.044416190099999996,0.08089689,17659,1251,8.112856,0.9910945165902376,-0.051051997,6.08,-0.054181643
41,1.70128,90.74127318005445,15546.596914291382,0.034290215990000004,0.026976539,17919,1292,10.729607,0.9917751559987664,-0.043572824,6.12,-0.051038396
45,1.4586227,91.49532698181278,15924.642483472824,0.033024923809999995,0.047208793,18173,1337,7.12725,0.9954274925403297,-0.046288244,6.07,-0.043758683
41,1.6479503,91.40794463795854,16249.09938788414,0.03243504776,0.033492878,18426,1378,15.490585,0.977678844705224,-0.013529442,6.1,-0.049438506
37,1.7226048,92.66947205245847,16573.799690008163,0.031029931950000002,0.03940077,18686,1415,5.677993,0.9946130737662315,-0.048151225,6.4,-0.051678136
35,1.8669317,90.55056026619712,16846.923924684525,0.030802378579999998,0.06056168,18940,1450,8.397822,0.9886698639020324,-0.057094697,6.9,-0.05600795
37,1.5840173,91.67177675763014,17160.59830236435,0.0289930403,0.054815,19197,1487,6.739857,0.9924085140228271,-0.04826587,7.12,-0.04752052
36,1.4494698,91.96282035553578,17459.654349327087,0.030856400160000002,0.026377507,19435,1523,15.650593,0.9821920953691006,-0.039419353,7.06,-0.04348409
40,1.5489924,92.20883504846093,17791.36831998825,0.0319693909,0.024241693,19706,1563,7.817917,0.9902539113536477,-0.03253354,6.79,-0.04646977
35,1.6589634,90.46714779811401,18102.97930788994,0.03594647132,0.052602008,19965,1598,14.95039,0.9814770929515362,-0.024037398,6.91,-0.049768902
41,1.5539668,91.99936686371719,18458.276817798615,0.03343492779,0.037646312,20223,1639,3.732782,0.9946342371404171,-0.05354526,6.7,-0.046619
38,1.5372574,91.61580394535213,18801.77724647522,0.034975319180000006,0.01576532,20478,1677,10.275121,0.9926184052601457,-0.028132383,6.61,-0.046117723
36,1.5000064,93.3640873436056,19145.701097249985,0.028577924649999996,0.033692177,20731,1713,4.800962,0.9952296959236264,-0.039202087,6.6,-0.04500019
36,1.5270303,93.16900453538969,19441.492535829544,0.029280056499999995,0.024936154,20991,1749,7.51194,0.9883908610790968,-0.040367875,6.9,-0.045810908
40,1.6331602,91.34620278538365,19782.956173181534,0.029259627250000003,0.06813783,21248,1789,8.1304655,0.9887334825471044,-0.026300058,6.87,-0.048994806
17,1.4009063,91.17422534332744,19942.17552447319,0.03026473275,0.15907207,21364,1806,62.478973,0.9323771074414253,-0.05348064,6.86,-0.04202719
43,1.1768193,89.52061973464022,20303.686237096786,0.032244543179999995,0.036247067,21758,1849,23.89193,0.9901599604636431,-0.032383405,7.67,-0.035304576
43,1.3156687,91.56582636948511,20671.08611011505,0.030140805620000002,0.017725203,22015,1892,16.825523,0.9843698367476463,-0.031597078,7.47,-0.039470058
36,1.5480342,91.61372790572173,20982.06527519226,0.03291854083,0.22044107,22268,1928,35.193165,0.972440555691719,-0.045716293,6.34,-0.046441022
43,1.0307606,92.56930602408251,21347.61053109169,0.03285781318000001,0.072805315,22526,1971,10.479622,0.9923132765106857,-0.045031406,6.33,-0.030922819
41,1.3435187,91.57910236109022,21678.716357707977,0.03207106093,0.030503016,22783,2012,8.007823,0.9912339113652706,-0.04565636,6.54,-0.04030556
38,1.2845542,91.44448860153344,21982.449419021606,0.030466910680000004,0.017560456,23037,2050,11.040407,0.9889578623697162,-0.031378116,6.42,-0.038536627
36,1.4941548,90.90945432694451,22297.751581668854,0.028627743809999998,0.030476179,23292,2086,17.903658,0.9739488419145346,-0.051732793,6.77,-0.044824645
44,1.3627834,89.52565334156634,22668.143442869186,0.030339815559999997,0.053156804,23550,2130,15.191346,0.9863418713212013,-0.04019976,6.45,-0.0408835
34,1.5367992,90.42583275168623,22987.752722263336,0.034486569159999994,0.037761517,23795,2164,18.416487,0.9801960680633783,-0.042196378,6.56,-0.046103977
38,1.6312735,90.30352266075742,23325.34235072136,0.03358312533,0.11741816,24064,2202,6.1189823,0.9924309463240206,-0.031417698,6.79,-0.048938207
