loss_vf_loss,EpLenMean,EpisodesSoFar,EpThisIter,EpExecMean,TimeElapsed,TimestepsSoFar,loss_ent,loss_pol_entpen,loss_kl,loss_pol_surr,ev_tdlam_before,EpRewMean
134.85434,14.94,396,15,0.010814384319999999,2806.0810973644257,7381,2.9540462,-0.088621385,0.07454768,-0.08859198,0.7530596554279327,73.01831499270934
73.83078,15.93,408,12,0.010998794609999998,2872.05761551857,7660,3.112316,-0.09336947,0.12494306,-0.091680825,0.8582412749528885,71.83152499205568
83.07002,16.27,426,18,0.01102400311,2966.8863365650177,7924,2.7414176,-0.082242526,0.08288166,-0.09135364,0.8193385899066925,71.76634199926258
99.59606,15.45,447,21,0.01003263398,3081.0540754795074,8186,2.891038,-0.08673114,0.041031107,-0.07056728,0.8592550605535507,73.73902256536559
117.55495,14.65,470,23,0.00970035497,3197.4699161052704,8447,2.8018227,-0.08405467,0.06935161,-0.088593915,0.875640295445919,75.04156722699344
81.615295,13.98,491,21,0.008293620209999998,3302.8254313468933,8702,3.0018165,-0.0900545,0.052795693,-0.09103275,0.8838170394301414,76.67515284421523
102.03942,11.77,515,24,0.007834848879999998,3428.012122154236,8949,2.7750802,-0.0832524,0.07635181,-0.078163534,0.8561917543411255,79.68555310368043
68.559525,11.03,541,26,0.007164888749999999,3555.8606901168823,9216,2.8233047,-0.08469914,0.07375434,-0.08655082,0.909069187939167,80.37975141629862
77.32474,9.99,572,31,0.00764004901,3716.221787214279,9466,2.787002,-0.08361006,0.04230151,-0.08248831,0.9105371236801147,81.73832450624204
69.7526,9.45,598,26,0.00873311609,3853.5412015914917,9723,2.7292938,-0.08187881,0.06644897,-0.07104324,0.8979877755045891,81.60604773896688
60.785603,9.38,625,27,0.008692891670000001,3968.7110459804535,9978,2.8802261,-0.08640678,0.047737803,-0.068327144,0.8789014592766762,79.77819044428092
76.17975,9.13,654,29,0.008733857760000002,4112.591654539108,10233,2.7344773,-0.08203431,0.053114455,-0.065603584,0.9028664901852608,78.22719644946073
41.241856,9.45,680,26,0.00790257403,4277.210275650024,10494,2.7470517,-0.08241156,0.023231369,-0.06305904,0.9518301486968994,81.18340717883228
25.162361,9.82,703,23,0.007274282559999999,4399.257990837097,10751,2.897468,-0.08692405,0.040224098,-0.07408789,0.9631568491458893,79.95152290527646
42.303345,9.89,728,25,0.006998162280000001,4526.807100534439,10999,2.6211805,-0.07863542,0.09236383,-0.059168026,0.9437703527510166,80.05142291324289
24.52295,10.06,756,28,0.00637019137,4645.803896188736,11262,2.461685,-0.07385054,0.12301324,-0.06928378,0.9707425814121962,80.39745955005978
46.829628,8.9,792,36,0.006724442429999998,4822.697690486908,11516,2.2663436,-0.0679903,0.027243271,-0.06107907,0.9611712582409382,81.0778410297036
24.143793,8.41,823,31,0.006690357800000001,4972.938338756561,11771,2.1763349,-0.06529005,0.037276328,-0.06925161,0.9714899733662605,83.41481259285861
22.928967,7.36,861,38,0.00695481037,5155.500086545944,12027,2.1877456,-0.065632366,0.056466624,-0.05767627,0.9842725750058889,85.7672407202395
