loss_pol_surr,loss_ent,EpLenMean,EpExecMean,EpThisIter,EpisodesSoFar,TimeElapsed,loss_pol_entpen,loss_vf_loss,TimestepsSoFar,ev_tdlam_before,EpRewMean,loss_kl
-0.106555305,6.072892,25.2,0.16417810807,10,158,36106.99370908737,-0.18218677,125.23419,12540,0.14336276054382324,26.478409128858083,0.16193745
-0.10681601,6.0303655,24.97,0.16682335160999998,11,169,36977.60946893692,-0.18091096,147.80664,12788,0.0404321551322937,25.820739835849945,0.12504162
-0.1328831,5.9585047,24.86,0.15972758756,15,184,37874.79071974754,-0.17875513,189.0744,13039,0.0898100733757019,28.34140472514633,0.1256932
-0.10063292,6.32407,24.85,0.16609917506,10,194,38633.822065114975,-0.18972209,70.86931,13279,0.3723143935203552,26.129771104342343,0.167723
-0.105977386,6.147583,25.18,0.17090609216,10,204,39539.82949948311,-0.18442748,121.13244,13557,0.241773784160614,24.363475382185456,0.10930309
-0.11029416,6.171939,24.25,0.17760763571,13,217,40368.12618088722,-0.18515816,251.29381,13811,0.09136390686035156,22.97062890068841,0.13696396
-0.11297056,6.0051136,24.86,0.1838453095,9,226,41178.69322323799,-0.18015341,129.36302,14074,0.2610625624656677,20.448068678790595,0.09212786
-0.122069575,6.1173573,23.74,0.18940066047999998,12,238,42044.418384552,-0.18352072,151.86186,14320,0.26155322790145874,19.72685307221976,0.18493113
-0.12005612,6.252361,23.47,0.18956001037,9,247,42888.192065000534,-0.18757081,127.25611,14573,0.2790754437446594,20.06367516172735,0.13946748
-0.13377243,6.6822634,24.06,0.18834896321000003,1,248,43586.205511808395,-0.2004679,32.799026,14684,0.6320147812366486,19.926333888914606,0.07491849
-0.12747563,6.29305,26.29,0.18364085823000004,6,254,44372.71791267395,-0.18879148,120.44153,15088,0.5444677770137787,19.352846290719665,0.06314635
-0.13426688,6.1169395,26.64,0.17549194486000005,8,262,45179.33026480675,-0.18350819,115.586914,15346,0.40895354747772217,21.80497457234945,0.09264614
-0.1121538,5.557015,27.83,0.16441871550999998,11,273,45988.61780834198,-0.16671044,68.530624,15609,0.6018938422203064,24.36525601310159,0.1175331
-0.09969953,5.470501,25.92,0.15375440756,21,294,46784.35855221748,-0.16411504,154.2146,15871,0.47290778160095215,29.77872159862255,0.11628539
-0.100155465,5.749735,25.79,0.14718897771,9,303,47593.09344315529,-0.17249204,78.79097,16123,0.5604802966117859,32.125181226004706,0.084756315
-0.09406313,5.5543294,25.9,0.13603494823999998,12,315,48396.06213068962,-0.16662988,70.55499,16368,0.6633530557155609,35.79166055014546,0.07048006
-0.111621656,5.292614,25.02,0.12225111651000001,15,330,49244.299877643585,-0.15877841,122.30724,16639,0.6480318605899811,41.15091720942596,0.073160835
-0.07450169,5.172949,23.69,0.11677086027000001,15,345,50011.468667030334,-0.15518846,114.99979,16868,0.6253408789634705,43.957784792236225,0.05343825
-0.08228296,5.4072347,18.21,0.11523837141999999,15,360,50825.22518539429,-0.16221704,77.383125,17141,0.7721825242042542,49.58617657555984,0.08429341
-0.10126105,5.4176283,17.96,0.11144227276000004,13,373,51730.755136966705,-0.16252884,93.71916,17405,0.6391106247901917,51.186988485570716,0.06142074
-0.07907891,5.1903934,18.68,0.10071373945999999,16,389,52582.782534599304,-0.1557118,125.11483,17656,0.6555985510349274,54.11550886801736,0.082407854
-0.08602239,5.538064,18.55,0.09713547718000003,12,401,53298.514394283295,-0.16614193,98.114265,17912,0.6451384723186493,55.00144066832958,0.07129677
-0.07344489,5.3205576,18.25,0.09439487381999999,13,414,53994.64629340172,-0.15961674,188.75375,18168,0.5924516320228577,56.18002854715564,0.08786963
-0.08394517,5.3115444,18.58,0.09230956884999998,12,426,54861.26791381836,-0.15934634,65.37373,18427,0.6682692468166351,56.58614853848403,0.14618427
