TimeElapsed,EpThisIter,EpLenMean,loss_pol_entpen,loss_kl,loss_vf_loss,EpisodesSoFar,ev_tdlam_before,TimestepsSoFar,EpExecMean,loss_ent,EpRewMean,loss_pol_surr
135986.50689268112,16,17.09,-0.15082209,0.07188437,28.281878,1444,0.930230550467968,42488,0.055324701559999995,5.0274034,72.67592807416833,-0.07482027
136575.63915491104,10,17.51,-0.093955524,0.29459113,104.811035,1454,0.7038499414920807,42748,0.05576307155,3.1318507,72.03142375904095,-0.088379316
137500.44230246544,20,17.05,-0.13166897,0.055119555,24.47484,1474,0.9455316737294197,43008,0.060479255759999996,4.388966,70.7632427817834,-0.068681315
138428.41397738457,19,16.01,-0.12521136,0.030292096,74.17001,1493,0.892460934817791,43247,0.06633509466,4.1737127,69.61607072897344,-0.052135438
139319.62097024918,18,15.96,-0.13431844,0.05470796,47.142357,1511,0.9036029502749443,43516,0.07068473368000001,4.4772816,67.43970849447523,-0.048597187
140244.5007302761,19,15.17,-0.129581,0.027596634,35.672447,1530,0.9262794554233551,43774,0.0744747478,4.319367,66.79182142466203,-0.06434563
141198.6081237793,20,13.37,-0.12562051,0.05915446,24.110687,1550,0.9555375948548317,44029,0.07318124747,4.1873503,68.91337048269683,-0.060312197
142246.65780067444,21,13.18,-0.123819426,0.06590092,20.640682,1571,0.9645426906645298,44281,0.06450316281000001,4.1273146,71.98512618564486,-0.07499094
143258.5187880993,22,12.88,-0.118550465,0.06017132,13.364369,1593,0.9775532949715853,44535,0.059197638989999996,3.951682,74.11400740637337,-0.057972632
144314.61548662186,21,12.38,-0.123887725,0.10786544,29.383045,1614,0.9467485100030899,44798,0.053051518029999994,4.129591,77.40239305171815,-0.052556105
145146.97406458855,15,12.45,-0.13678971,0.2199192,34.65401,1629,0.8703002780675888,45003,0.05132202921,4.5596576,77.92414610198642,-0.082938515
146089.19271588326,17,13.29,-0.12686217,0.06295828,31.08459,1646,0.9173936545848846,45308,0.05258683667,4.228739,76.78437435001806,-0.07263583
146717.88770532608,12,13.62,-0.12766127,0.49459282,74.19963,1658,0.706998735666275,45482,0.05325528481,4.255376,76.26781082229517,-0.08174263
147704.33627057076,19,14.7,-0.12205132,0.052001026,70.07375,1677,0.8642219305038452,45821,0.0621932887,4.0683775,71.93167660677504,-0.06717815
148669.82069778442,20,14.76,-0.12419609,0.07512348,49.62151,1697,0.8779049590229988,46067,0.062226731509999994,4.1398697,71.87084182023413,-0.08267328
149042.08145999908,6,15.06,-0.053306304,0.034497604,45.51073,1703,0.5441195368766785,46174,0.06293383958000001,1.7768769,71.43175326577945,-0.055786207
150083.0217819214,15,17.32,-0.1307914,0.08227688,73.853195,1718,0.773509293794632,46578,0.06191940752,4.359713,69.68012431341563,-0.07794302
151046.05693411827,18,16.66,-0.1364039,0.076260224,31.451838,1736,0.9267387688159943,46837,0.05616879075,4.546797,72.40177250757291,-0.058011692
151672.6903283596,1,16.95,-0.19369955,0.10195116,19.639397,1737,0.4175950884819031,46872,0.05607787486,6.4566517,72.1912273967203,-0.10508355
152414.04904437065,4,20.22,-0.17018999,0.08705278,27.759125,1741,0.932263657450676,47247,0.05600032451,5.673,69.2963521242304,-0.114422396
153145.36812353134,8,22.69,-0.16606402,0.10623494,17.380596,1749,0.9545154459774494,47612,0.05557646124000001,5.5354676,67.11367515578723,-0.1019111
154029.82306289673,15,22.14,-0.14003482,0.087739065,26.453352,1764,0.9482774324715137,47869,0.05045146315,4.667827,69.47406973171256,-0.07700443
154884.53280735016,13,22.86,-0.1480319,0.16598263,24.39881,1777,0.9392869286239147,48107,0.04554188631000001,4.934397,70.97507596359851,-0.0858128
155185.09211730957,5,23.22,-0.042298377,0.050997693,55.305614,1782,0.4086092710494995,48203,0.04508400612999999,1.409946,70.90341977835607,-0.052622147
155213.4923734665,0,23.22,-0.03228983,0.06503676,49.881958,1782,-0.116752028465271,48203,0.04508400612999999,1.0763276,70.90341977835607,-3.4393743e-05
155864.3621380329,13,28.62,-0.10806912,0.05410508,176.74219,1795,0.13302570581436157,48894,0.05043044855000001,3.602304,63.79128176800512,-0.03947232
