EpThisIter,loss_pol_surr,TimeElapsed,EpisodesSoFar,loss_ent,EpRewMean,TimestepsSoFar,loss_kl,ev_tdlam_before,loss_vf_loss,loss_pol_entpen,EpLenMean,EpExecMean
26,-0.057534996,1919.800522327423,399,2.707346,78.64324230992071,7157,0.06601657,0.8672700822353363,101.62056,-0.08122038,8.42,0.005605877
40,-0.05760079,2020.6517264842987,439,2.9002447,79.2179831280019,7423,0.05701712,0.8209238797426224,165.14355,-0.087007344,8.0,0.005882358429999999
23,-0.061157167,2098.282210826874,462,2.984144,80.52303105388881,7617,0.13035141,0.8236404657363892,94.98169,-0.089524314,8.09,0.00595787076
0,-0.017761696,2107.383610010147,462,3.950311,80.52303105388881,7617,0.16126317,-0.17091357707977295,9.466436,-0.11850934,8.09,0.00595787076
0,-0.03741675,2132.033860683441,462,3.9374013,80.52303105388881,7617,0.070144355,-0.08777141571044922,6.569101,-0.11812203,8.09,0.00595787076
0,-0.03905134,2132.6630804538727,462,3.9001212,80.52303105388881,7617,0.10355346,-0.1670520305633545,8.510885,-0.117003635,8.09,0.00595787076
0,-0.037918895,2144.2065567970276,462,3.8554301,80.52303105388881,7617,0.10242991,0.052715957164764404,9.21573,-0.1156629,8.09,0.00595787076
10,-0.06389664,2186.5020744800568,472,3.6456652,68.27940228670396,8959,0.055839054,0.7769951820373535,148.10086,-0.10936995,20.67,0.0060317125299999995
35,-0.075668804,2287.493639230728,507,3.1332507,69.11424366987114,9211,0.10527788,0.7030714750289917,139.42262,-0.093997516,19.98,0.00637238154
25,-0.045768596,2372.6645679473877,532,3.1511812,69.91597910226533,9469,0.094595015,0.8385291248559952,72.47537,-0.09453543,20.88,0.0056149660899999995
27,-0.09412342,2457.6952817440033,559,2.9203165,68.67873856665022,9728,0.12152412,0.8123883157968521,122.31011,-0.08760949,21.36,0.00600379486
28,-0.069356635,2562.1802418231964,587,2.6988525,80.59060277318588,9978,0.1030882,0.8730806857347488,98.50589,-0.08096558,9.0,0.00602517608
