TimeElapsed,EpRewMean,loss_pol_surr,loss_kl,loss_ent,TimestepsSoFar,EpExecMean,EpisodesSoFar,EpLenMean,EpThisIter,loss_pol_entpen,ev_tdlam_before,loss_vf_loss
11126.044073820114,77.01521531608235,-0.039006468,0.043865465,3.3194575,9215,0.03766137436,1043,8.05,34,-0.09958372,0.692530483007431,290.9657
11526.995544433594,79.02585784116792,-0.05882096,0.03209673,3.2692826,9466,0.04078394109,1083,6.25,40,-0.098078474,0.7944065928459167,257.46234
11826.932220935822,77.12672292677951,-0.051828727,0.042796224,3.347056,9723,0.030988015259999994,1116,7.1,33,-0.10041167,0.7002786993980408,251.31161
12288.587975740433,76.05615265891805,-0.07188204,0.084804505,3.0551896,9984,0.03720740114999999,1173,5.84,57,-0.09165569,0.7792288362979889,378.87228
12679.063661575317,80.18561716752542,-0.050498374,0.036547493,3.18572,10240,0.025745799839999993,1222,4.81,49,-0.09557159,0.8319312632083893,251.2975
13085.847141504288,80.89103564697331,-0.06940383,0.051941693,3.2928514,10495,0.023733905700000002,1265,5.46,43,-0.098785535,0.8440561294555664,214.40216
13494.348185062408,78.00880664876773,-0.086768515,0.07636091,3.4936705,10656,0.02758137332,1289,5.94,24,-0.104810104,0.7017380595207214,126.0495
13690.832931041718,75.04298502266403,-0.053456284,0.036986314,3.9429412,10989,0.03095166291,1295,9.05,6,-0.118288234,0.5137571096420288,112.37671
14037.992460250854,72.85008539885831,-0.07435927,0.080675036,3.202795,11262,0.027823393569999997,1340,9.36,45,-0.09608386,0.714830219745636,315.30347
14326.089620828629,72.76757409274781,-0.051337384,0.044020627,3.3064475,11510,0.02021522077,1370,9.76,30,-0.09919342,0.6375457942485809,229.04083
14777.712467193604,81.32646269979513,-0.0594342,0.045079686,3.1641817,11759,0.0179078198,1416,6.34,46,-0.09492545,0.8634783625602722,186.72618
15120.69200706482,80.77593864761735,-0.044103373,0.08532345,3.068258,12020,0.013019050829999998,1451,6.54,35,-0.092047736,0.9027490243315697,87.532646
15265.00734424591,77.42665392014462,-0.08243428,0.07599391,3.8657663,12079,0.011141371419999999,1463,6.14,12,-0.11597299,0.6969491541385651,43.263924
15376.11518406868,77.42665392014462,-0.078905895,0.06957525,4.057476,12079,0.011141371419999999,1463,6.14,0,-0.12172427,0.24357789754867554,7.003278
15523.060549736023,70.85812913778416,-0.059777454,0.099906646,3.9547603,12796,0.011193235559999999,1469,12.98,6,-0.11864281,0.7375647127628326,102.79114
15704.105605363846,70.02946353384719,-0.023643298,0.01738477,2.6516652,13056,0.013816328199999998,1489,14.36,20,-0.079549946,0.5920648872852325,235.32953
15982.055477619171,67.87859420163538,-0.06098821,0.08138739,3.1934297,13307,0.014040695380000003,1516,15.48,27,-0.09580288,0.8859668225049973,90.02148
16162.216455459595,69.10406534361091,-0.026559338,0.024604034,1.6519635,13434,0.01399527266,1538,15.19,22,-0.049558904,0.680974692106247,87.59915
16512.068560123444,76.13142602261634,-0.051997837,0.032303225,2.5220149,13805,0.01748952082,1574,9.68,36,-0.07566045,0.7693091779947281,229.83243
16769.313953638077,73.5455555252624,-0.032794006,0.01913333,2.6429744,14077,0.019605196300000002,1604,8.85,30,-0.07928923,0.667265385389328,292.99298
17155.140821695328,66.19590099782154,-0.03903391,0.042819686,2.7419696,14333,0.0182262095,1658,6.16,54,-0.08225909,0.8648060262203217,162.50204
17538.456917524338,72.31638442708227,-0.043716732,0.042581737,2.8799367,14591,0.011258775999999996,1707,5.0,49,-0.0863981,0.8803184404969215,169.67351
17920.887371063232,75.74317299471842,-0.03282573,0.035559528,2.9627602,14836,0.00928653427,1750,5.82,43,-0.088882804,0.8857222869992256,122.176575
18176.1937623024,73.99213028770657,-0.025043808,0.03111383,2.497495,15103,0.012286892800000003,1779,6.44,29,-0.07492485,0.7633195966482162,208.03676
18600.54327082634,74.46436829347881,-0.035833873,0.02598532,2.905292,15359,0.01753219118,1835,5.75,56,-0.08715876,0.8696406334638596,214.2476
18821.608022928238,77.12608264957089,-0.011445743,0.012474101,1.937739,15614,0.022982042020000003,1859,6.21,24,-0.05813217,0.5684108138084412,336.1493
19277.286198854446,81.15782449702787,-0.036090806,0.032119326,3.0088792,15869,0.018800652669999997,1915,5.92,56,-0.09026638,0.9232277721166611,79.78577
19672.48507142067,81.16044613342373,-0.04940679,0.04757569,2.9158902,16127,0.00971325828,1961,5.08,46,-0.0874767,0.9297318607568741,76.028885
20106.04848742485,77.06521335032198,-0.040352672,0.051221326,2.6138484,16382,0.00962811686,2017,5.05,56,-0.07841545,0.9603905566036701,61.689922
20593.886927366257,77.4875029232392,-0.044795223,0.03885048,2.6691644,16637,0.007598086380000001,2090,3.74,73,-0.08007493,0.9662236571311951,70.90316
21092.943871736526,78.09660107650207,-0.043991428,0.05859015,2.8155122,16893,0.012078422180000001,2162,3.39,72,-0.08446536,0.956873394548893,81.01359
21277.908721208572,77.55981310877876,-0.042089872,0.014626326,1.4759647,17015,0.01274508723,2183,3.91,21,-0.04427894,0.7257319092750549,50.67354
21288.100206375122,77.55981310877876,6.2808394e-05,3.40423e-05,0.09840811,17015,0.01274508723,2183,3.91,0,-0.0029522432,-0.12935888767242432,26.033392
21297.465040922165,77.55981310877876,-0.0007049851,2.7570873e-05,0.09643262,17015,0.01274508723,2183,3.91,0,-0.0028929785,-0.27195703983306885,18.201754
21307.146098136902,77.55981310877876,-0.00084492844,0.0002576193,0.08287695,17015,0.01274508723,2183,3.91,0,-0.0024863086,-0.27543091773986816,85.10156
21316.98638319969,77.55981310877876,-0.0015721954,0.0011891429,0.053367075,17015,0.01274508723,2183,3.91,0,-0.0016010122,-0.038744211196899414,6.6357265
21328.262492895126,77.55981310877876,-2.6077032e-08,0.0002576266,0.0692905,17015,0.01274508723,2183,3.91,0,-0.0020787148,-0.2167445421218872,11.934641
21337.519983291626,77.55981310877876,0.00039647892,0.00043375537,0.09297239,17015,0.01274508723,2183,3.91,0,-0.0027891716,-0.3244609832763672,4.5143695
21349.27615737915,77.55981310877876,-0.01839796,0.032600723,0.42020062,17015,0.01274508723,2183,3.91,0,-0.012606018,-0.05310940742492676,2.941862
21569.918633461,58.084730158563225,-0.0693003,0.055971146,2.609855,19141,0.015016858640000002,2210,24.38,27,-0.07829565,0.44739580154418945,725.0482
21903.203547477722,58.61776774468508,-0.04833371,0.04352588,2.9486575,19454,0.022459695419999995,2251,25.85,41,-0.08845973,0.807020902633667,176.3369
22365.51486182213,77.50436262760213,-0.039409976,0.019165892,2.744482,19711,0.015844471489999998,2310,5.7,59,-0.08233446,0.885400302708149,161.67897
22426.41737127304,74.41295175820244,-0.030754752,0.0058574285,0.48753124,19966,0.01577191407,2318,7.06,8,-0.014625938,0.7179875075817108,30.92667
22951.306792974472,71.94550340867532,-0.034680124,0.031211128,2.374002,20220,0.012154448549999999,2387,5.94,69,-0.071220055,0.8696408271789551,297.74124
23274.45573282242,75.73982035156217,-0.042626817,0.05902037,2.044403,20478,0.01997295819,2427,4.77,40,-0.061332088,0.7806141078472137,268.30002
23588.30408501625,75.95639024744993,-0.032175817,0.028505992,2.3100634,20721,0.017867770079999998,2466,5.99,39,-0.0693019,0.8608278036117554,157.88422
24034.328456401825,72.09257295380698,-0.042986907,0.03037565,2.3306322,20985,0.02262888463,2530,4.97,64,-0.06991897,0.8299363851547241,320.93982
24441.675463199615,74.13070393479711,-0.050535947,0.05513992,2.5756001,21244,0.02116919768,2579,4.48,49,-0.077268,0.7740131616592407,335.80826
24813.193286418915,80.55244792478256,-0.055015273,0.06889835,2.786074,21502,0.013302091079999998,2620,5.45,41,-0.08358221,0.7906534522771835,269.6559
25094.01140999794,83.60105034444454,-0.03932035,0.042593542,2.5028374,21755,0.01346434004,2649,6.42,29,-0.07508512,0.8399870991706848,173.76318
25296.30286860466,82.58370043658161,-0.012843402,0.012920365,1.9777735,21904,0.014741964810000003,2669,7.05,20,-0.059333205,0.6505153775215149,229.46255
25699.41256928444,80.7448368963145,-0.030461483,0.022357214,2.6822107,22270,0.015068040429999999,2711,8.09,42,-0.080466315,0.8360903412103653,224.7449
26052.092203855515,79.40775804568221,-0.036170892,0.045343705,2.8151565,22528,0.014115903919999999,2752,7.5,41,-0.084454685,0.871608093380928,159.09177
26210.848514080048,78.15008988471126,-0.03261806,0.020918956,1.3938742,22614,0.01350208147,2777,5.49,25,-0.041816227,0.7862901836633682,205.04758
