EpLenMean,EpRewMean,loss_kl,ev_tdlam_before,TimeElapsed,loss_ent,loss_pol_entpen,EpExecMean,TimestepsSoFar,EpThisIter,EpisodesSoFar,loss_vf_loss,loss_pol_surr
6.23,74.4154953388136,0.07923342,0.7124596834182739,6425.8575003147125,3.2977726,-0.098933175,0.019981536780000003,6144,37,560,296.9209,-0.07351051
6.01,74.63996646142007,0.09776895,0.8076917827129364,6785.838436126709,3.2982764,-0.098948285,0.0260549076,6385,45,605,203.01018,-0.06179414
6.84,76.21742823846324,0.08916575,0.8187467902898788,7067.901955842972,3.2726345,-0.09817903,0.01720088219,6656,29,634,115.18434,-0.055795167
6.51,76.85287659674339,0.055289883,0.7472150325775146,7425.392568826675,2.9427242,-0.08828173,0.028257642979999997,6912,46,680,292.54184,-0.06332557
4.8,77.7765886476892,0.03181682,0.866625502705574,7823.421194791794,2.8231256,-0.08469376,0.028126840040000007,7167,60,740,232.31494,-0.05722198
4.57,79.133448811759,0.105956726,0.7876344323158264,8127.772933244705,3.326878,-0.09980634,0.02260286379,7331,34,774,130.12315,-0.06857463
4.57,79.133448811759,0.110454895,-0.00697016716003418,8221.338802337646,4.2094164,-0.12628251,0.02260286379,7331,0,774,62.277206,-0.05905655
8.19,73.47156154286444,0.11129491,0.7131831049919128,8568.745884656906,3.4038107,-0.10211432,0.02269018568,7902,43,817,322.3841,-0.0678086
9.34,71.63511150526885,0.056648746,0.8385800570249557,8907.614524841309,3.419201,-0.10257602,0.01855424073,8186,42,859,129.70909,-0.04492047
6.19,82.14122291087465,0.03791538,0.8767939582467079,9177.95499420166,3.4679651,-0.104038954,0.01795757899,8434,34,893,90.75801,-0.042096227
6.81,77.79166631962988,0.102532156,0.809609666466713,9443.579713106155,3.3815095,-0.10144528,0.01435820712,8690,28,921,137.70096,-0.08363885
6.42,71.64212518445683,0.03911055,0.9172544479370117,9899.993547916412,3.0512004,-0.091536015,0.02287720522,8954,52,973,102.20951,-0.0530179
5.46,65.83962743033673,0.098590165,0.7990999072790146,10208.474712848663,3.1711159,-0.09513348,0.021081077400000002,9166,39,1012,188.47017,-0.06518699
5.23,80.24492078026064,0.08790682,0.8895332887768745,10637.367647647858,2.9247155,-0.087741464,0.019112699369999996,9470,60,1072,182.08829,-0.08038887
4.57,86.46612328325648,0.061432697,0.8873729035258293,11045.729621887207,3.0897813,-0.09269343,0.022209173379999995,9715,51,1123,142.98013,-0.05577662
5.33,78.63288632694245,0.053592112,0.9186275228857994,11414.36419415474,2.9009235,-0.087027706,0.03198589352,9982,47,1170,63.79539,-0.056531288
4.55,78.7694335836751,0.07613315,0.941595483571291,11903.904868841171,2.8751483,-0.08625445,0.02732343548,10238,62,1232,97.396545,-0.055046394
4.11,75.25658621340891,0.043921098,0.9500606618821621,12337.79202079773,2.833011,-0.08499032,0.02725847334,10496,61,1293,64.19217,-0.031416595
4.53,73.26440261257291,0.051237285,0.8540548831224442,12735.796087265015,2.8460844,-0.08538252,0.018792872999999998,10749,51,1344,176.75032,-0.054806672
4.53,78.23784383163962,0.045080304,0.8961681425571442,13296.719752311707,2.9319,-0.087956995,0.026254816310000005,11007,65,1409,180.4637,-0.055037156
4.79,73.6873436350113,0.036487043,0.909934014081955,13651.774317026138,3.0749912,-0.092249736,0.026993068710000002,11259,43,1452,106.71942,-0.072501525
5.48,73.14325485579475,0.022055982,0.9303518757224083,14010.80632352829,3.0061562,-0.09018468,0.01464432521,11518,47,1499,80.220566,-0.044141416
