EpLenMean,EpThisIter,EpisodesSoFar,ev_tdlam_before,EpRewMean,EpExecMean,TimestepsSoFar,loss_kl,loss_pol_entpen,loss_pol_surr,loss_vf_loss,loss_ent,TimeElapsed
8.74,22,366,0.6968578696250916,70.26789787857129,0.0011991734699999998,4338,0.39847675,-0.09902803,-0.049865443,263.07312,3.300934,3890.235134601593
6.87,72,438,0.7481130957603455,76.50089184531053,0.0016928353100000002,4608,0.057465665,-0.07752365,-0.08301703,625.10876,2.5841217,4347.364721536636
3.86,60,498,0.7118776738643646,72.64530764511841,0.0021608641000000002,4862,0.050453767,-0.08787679,-0.05134105,437.04483,2.9292264,4786.395414352417
4.57,31,529,0.6848768591880798,65.05074999724984,0.0021598982299999995,5032,0.05173093,-0.10011741,-0.055155054,161.04594,3.337247,5082.501282453537
6.2,47,576,0.7374374866485596,62.92375932976357,0.00251027668,5375,0.0351464,-0.09252305,-0.04230357,327.28705,3.0841017,5409.205966711044
6.41,45,621,0.7923031151294708,70.22614506539406,0.0014082063299999997,5630,0.042504285,-0.09094744,-0.04658013,251.05049,3.0315816,5765.864187479019
5.52,45,666,0.8261849731206894,75.84671608082326,0.0008611556,5885,0.03353394,-0.09151412,-0.038710896,209.2121,3.0504708,6114.659893512726
5.64,45,711,0.8059775978326797,73.87617363348566,0.00102059688,6129,0.032739848,-0.09426283,-0.03499927,178.29666,3.1420941,6482.192443847656
5.57,47,758,0.8274297267198563,69.23470982793998,0.00130889478,6398,0.039140694,-0.094819516,-0.04761578,181.07532,3.1606507,6858.968382120132
6.04,38,796,0.8593942373991013,74.33631672594393,0.00110222814,6655,0.03624873,-0.09263429,-0.0398344,149.75552,3.0878096,7247.026865720749
6.08,43,839,0.8150511533021927,73.44007808419258,0.0009678346600000002,6906,0.05216702,-0.08752254,-0.04259543,154.64243,2.917418,7672.122217416763
5.3,54,893,0.8931421488523483,72.73891338657378,0.00114856713,7168,0.041472264,-0.0883013,-0.044165745,165.674,2.943377,8172.271019935608
5.4,42,935,0.8979502767324448,73.93359937591316,0.0009652218900000001,7422,0.041084353,-0.09106618,-0.04486437,117.92174,3.0355392,8534.958582401276
5.89,41,976,0.893954262137413,68.79177224996522,0.0017096084399999998,7680,0.100535944,-0.079896145,-0.050902314,87.694046,2.663205,8854.021775007248
4.31,71,1047,0.9152849987149239,74.27617524145018,0.00231832201,7933,0.04696074,-0.0754111,-0.06414027,189.5502,2.5137036,9381.901643514633
3.81,62,1109,0.9287782534956932,72.42595051885138,0.0010512112400000002,8191,0.04255889,-0.08405428,-0.042756826,108.47251,2.8018093,9824.408625602722
5.05,38,1147,0.8764638379216194,70.66371906199417,0.0012166491600000002,8438,0.25276592,-0.077712275,-0.07627423,87.87901,2.5904093,10154.534651994705
6.21,33,1180,0.8195322155952454,71.09047036980141,0.0012383125,8695,0.030859653,-0.08097755,-0.06507824,57.74989,2.699252,10401.851775407791
6.72,44,1224,0.9404352605342865,72.23178281291119,0.0010464487,8959,0.08024067,-0.06505295,-0.062281758,74.08438,2.1684315,10748.834873437881
5.69,38,1262,0.8922917917370796,71.4542398630554,0.0010826830599999998,9116,0.10511716,-0.08508478,-0.06475312,65.78407,2.8361595,11004.437644004822
6.56,38,1300,0.8866716846823692,68.19677956304403,0.0017515251,9472,0.15079822,-0.08693315,-0.08643144,62.4905,2.8977718,11282.51289176941
2.94,88,1388,0.9493858106434345,75.32670323349103,0.0014160893199999997,9728,0.13662508,-0.058014892,-0.067035854,125.95575,1.9338298,11809.758879899979
3.76,47,1435,0.9457653388381004,73.49483971496039,0.0015628006999999998,9944,0.07322152,-0.06979714,-0.05264003,55.392105,2.3265715,12114.977665662766
3.81,79,1514,0.9684955663979053,81.84614968955987,0.0009628249700000001,10240,0.06046131,-0.06726313,-0.05365868,76.56433,2.2421043,12633.313260316849
3.44,66,1580,0.9635640382766724,79.31366250626976,0.0015084118199999998,10496,0.04574326,-0.070518434,-0.04146506,55.218384,2.3506145,13040.783197164536
