TimestepsSoFar,loss_pol_entpen,EpThisIter,EpisodesSoFar,loss_ent,ev_tdlam_before,loss_kl,TimeElapsed,EpExecMean,loss_pol_surr,loss_vf_loss,EpLenMean,EpRewMean
27887,-0.15653412,12,755,5.217804,0.7518685013055801,0.11263473,85729.94333600998,0.06828377204,-0.098845996,51.53321,20.55,65.00879573412837
28139,-0.15916309,12,767,5.305437,0.6834969222545624,0.06606446,86629.57137799263,0.068624638,-0.09437453,85.79703,20.8,64.558368830295
28401,-0.15951157,9,776,5.3170524,0.5109441876411438,0.19066752,87321.18959188461,0.07170425376999999,-0.120059386,60.4222,21.13,63.18069679968919
28672,-0.16178879,15,791,5.3929596,0.8335889428853989,0.07320316,88200.97687268257,0.0678398217,-0.10114613,51.730885,21.17,64.13600410117041
28917,-0.14923376,13,804,4.9744587,0.8427274972200394,0.06488028,89061.66470432281,0.06854915634,-0.1072089,54.48703,21.32,63.80620811896974
29174,-0.14636377,20,824,4.878793,0.832629919052124,0.052028276,89999.77379584312,0.06833103851000001,-0.06899567,81.72923,19.78,65.21686955033636
29430,-0.12405161,14,838,4.1350536,0.7790290266275406,0.061178282,90713.89241170883,0.07705231021999999,-0.10167454,73.38981,19.25,62.77152720044298
29693,-0.14306308,17,855,4.7687693,0.8625719994306564,0.05339572,91735.16103839874,0.07436886701999999,-0.08196716,56.503365,18.06,64.57080700760909
29942,-0.14170827,19,874,4.723609,0.8839027881622314,0.055684675,92711.48918962479,0.07534452047,-0.061653875,55.232574,15.84,66.36473440916637
30199,-0.14991666,21,895,4.9972224,0.8852404057979584,0.07306121,93751.87742877007,0.07847475582,-0.0631851,52.420753,14.52,66.78727740694717
30461,-0.15310423,14,909,5.1034746,0.8535114675760269,0.052953176,94672.18474793434,0.07770590802,-0.06718182,62.12597,14.71,66.84635326677522
30712,-0.15279754,12,921,5.093251,0.8720397651195526,0.08379215,95548.23346805573,0.07489082517,-0.111470595,30.490265,15.61,67.04832723789274
30970,-0.14111906,14,935,4.703969,0.8836510926485062,0.084546916,96430.38902878761,0.06905024796,-0.11177985,30.26582,15.91,68.85044007280351
31229,-0.13592243,17,952,4.5307474,0.5727699100971222,0.16941606,97308.15649962425,0.07324395373,-0.072032586,200.80669,16.09,67.281847552244
31475,-0.13794515,16,968,4.5981717,0.7936132252216339,0.15237352,98116.79988217354,0.07172506714,-0.078778446,91.1512,16.18,67.5839541023326
31737,-0.13913542,18,986,4.637848,0.8466583043336868,0.06384246,99096.6485683918,0.06344882615,-0.068744846,61.859116,16.35,69.935582618806
