TimeElapsed,TimestepsSoFar,EpThisIter,EpLenMean,loss_pol_entpen,EpExecMean,loss_pol_surr,EpisodesSoFar,loss_kl,loss_vf_loss,EpRewMean,loss_ent,ev_tdlam_before
4489.056571483612,5375,52,6.08,-0.09329867,0.00136819352,-0.055435352,438,0.07681834,433.0651,76.26594319298697,3.1099558,0.7044260501861572
4869.001091480255,5629,40,5.64,-0.093277335,0.00154037037,-0.03868483,478,0.030933166,323.74207,70.55164220778441,3.1092446,0.684682160615921
5239.688381195068,5883,32,6.02,-0.09836498,0.0019917672199999993,-0.05315534,510,0.03843417,222.67966,66.06669424129572,3.2788327,0.7588665336370468
5634.534603834152,6141,34,7.41,-0.09166399,0.00246119842,-0.060408548,544,0.039403796,256.50888,68.74906050351568,3.0554662,0.6928964853286743
6053.014388799667,6398,40,6.77,-0.08626275,0.00243524962,-0.051545486,584,0.04269308,219.30737,69.86750626879,2.8754249,0.7491685748100281
6454.8062398433685,6656,49,5.94,-0.08655198,0.0019372700900000001,-0.047347166,633,0.039347824,316.75107,77.61401171671353,2.8850658,0.7588505893945694
6842.419711351395,6906,44,5.48,-0.092199065,0.00219751128,-0.04767235,677,0.035011213,309.76593,76.00807664542059,3.0733023,0.7430470883846283
7240.493297338486,7166,47,5.37,-0.09188242,0.0016611700399999998,-0.038918827,724,0.049284592,193.66678,70.4746796257897,3.0627475,0.8245278000831604
7658.105555295944,7421,42,5.66,-0.09383348,0.0014030834499999998,-0.043005306,766,0.053733543,162.3902,64.89487190154956,3.1277826,0.8308044075965881
8079.068675041199,7679,46,5.86,-0.09268796,0.00096623668,-0.037738882,812,0.042086847,165.22925,68.59371952416411,3.0895987,0.8555883467197418
8511.728830337524,7935,36,6.13,-0.09356193,0.0009854661,-0.056731768,848,0.06149622,122.927734,68.49112074241643,3.118731,0.8478834182024002
8919.920975208282,8187,50,5.84,-0.0923802,0.0010033342800000002,-0.035741784,898,0.037844144,152.9491,71.54850676682868,3.07934,0.8869959786534309
9311.728434085846,8444,36,5.97,-0.08813734,0.00106051053,-0.04165722,934,0.087621436,99.29141,71.49055602636585,2.9379115,0.886332705616951
9620.656416893005,8689,35,6.51,-0.07759274,0.0010377974699999999,-0.042264294,969,0.10338199,87.36045,75.38153437831569,2.5864248,0.8951825872063637
9626.82894539833,8689,0,6.51,-0.0067051817,0.0010377974699999999,0.00021653064,969,0.0029549447,21.295452,75.38153437831569,0.22350606,-0.01759469509124756
9921.459767341614,9213,39,9.51,-0.079920486,0.00114511559,-0.030331861,1008,0.040976934,135.27,72.25824069487128,2.664016,0.8275979310274124
10327.016961574554,9471,45,8.94,-0.08505212,0.0012395207300000002,-0.045800094,1053,0.045073297,123.47413,76.18103989089427,2.8350706,0.9071913883090019
10793.186859607697,9728,54,5.28,-0.08595665,0.00096330262,-0.044090245,1107,0.05790142,120.605606,81.37152864937633,2.8652215,0.9211657121777534
11205.91831612587,9977,37,5.48,-0.085683286,0.0008748081500000001,-0.041211735,1144,0.05886892,87.21984,75.55302949834703,2.8561096,0.9045156612992287
11625.941178798676,10236,55,5.42,-0.08569619,0.00096433839,-0.037961725,1199,0.05819524,87.76196,70.04571781915416,2.8565397,0.9335608407855034
