EpisodesSoFar,EpExecMean,TimeElapsed,loss_pol_surr,ev_tdlam_before,loss_pol_entpen,TimestepsSoFar,EpLenMean,EpRewMean,loss_kl,loss_ent,loss_vf_loss,EpThisIter
81,0.2197186924814815,17235.870131731033,-0.12079054,0.1258278489112854,-0.18749277,10195,125.8641975308642,-61.62548976517018,0.12481691,6.2497597,67.39766,5
86,0.21543691434883722,17658.184901475906,-0.11696987,0.21855825185775757,-0.18353587,10459,121.61627906976744,-56.592136558461675,0.07839482,6.1178627,86.204025,5
93,0.20889586725806453,18133.331561088562,-0.10771944,0.39176684617996216,-0.18609536,10742,115.50537634408602,-49.395235412655246,0.103378445,6.203179,108.162735,7
98,0.2045503054693877,18561.428371429443,-0.111420915,0.5502382814884186,-0.19039379,10965,111.88775510204081,-44.85716259866133,0.08665269,6.3464603,61.280136,5
106,0.19428733292999995,18991.253108501434,-0.11287722,0.24675357341766357,-0.19280708,11262,102.13,-32.76442557174573,0.09552944,6.4269037,51.897316,8
114,0.18310441087000004,19493.928725242615,-0.10606116,0.35628366470336914,-0.19080007,11490,89.9,-18.38219621450317,0.076475404,6.360002,117.22792,8
124,0.16816709377,20009.33220076561,-0.10869068,0.30869609117507935,-0.1886287,11768,74.1,0.2923828652467341,0.0782678,6.287624,218.13458,10
129,0.16062750582,20510.77259373665,-0.10561171,0.5239063203334808,-0.19255912,11948,62.06,13.335858854752205,0.049963936,6.4186373,54.30567,5
137,0.15252485952,20980.260231494904,-0.11635388,0.4257546067237854,-0.18909921,12279,53.02,23.180392604321852,0.06404151,6.303307,86.957794,8
145,0.14989608877,21458.660924196243,-0.10723135,0.3693883419036865,-0.18547864,12544,47.35,28.111775609066417,0.07174365,6.182621,94.53428,8
154,0.14586601761999998,21935.167409181595,-0.10412125,0.5402031540870667,-0.17723654,12782,42.79,32.67806363634292,0.07164132,5.9078846,120.71218,9
164,0.14626780127,22421.40498304367,-0.09539097,0.6007221043109894,-0.1784159,13023,37.38,36.3661922736772,0.11734736,5.9471965,78.76917,10
174,0.14387923144,22861.673090696335,-0.084830515,0.4982137084007263,-0.1769686,13287,34.4,39.13313869212919,0.07967758,5.8989534,132.97948,10
183,0.14190804989000003,23303.324524641037,-0.098016575,0.4596395492553711,-0.17637086,13556,32.41,40.937092864837844,0.059205152,5.8790283,59.150497,9
194,0.14664905154,23812.08177447319,-0.0747665,0.49647319316864014,-0.17099434,13808,30.29,40.925360863910505,0.09753477,5.6998115,95.199844,11
202,0.14620555309,24285.976321935654,-0.10735542,0.40296471118927,-0.17169929,14041,29.21,41.747134643874695,0.07278224,5.7233095,96.83797,8
213,0.14098772827,24759.24260187149,-0.094884016,0.6805017590522766,-0.16451938,14320,28.67,43.50470570012292,0.087150976,5.4839797,56.58741,11
224,0.13726280627,25174.52843785286,-0.072212666,0.4915863871574402,-0.15507019,14577,28.09,44.69927561219006,0.06365934,5.1690063,109.67679,11
238,0.13147692386999998,25647.347036123276,-0.064405724,0.584734708070755,-0.16414715,14843,25.31,47.9466215841314,0.05751136,5.4715724,103.84831,14
250,0.12903293922,26092.356014490128,-0.05026535,0.5747667849063873,-0.17632729,15101,24.09,49.36092962662722,0.07646659,5.8775764,91.77417,12
262,0.12984431616000003,26523.1682472229,-0.08952433,0.6266052722930908,-0.16628413,15353,23.81,49.21136007775914,0.07081435,5.5428047,76.33757,12
276,0.13033728599999997,26998.84623146057,-0.07554274,0.6063932478427887,-0.16994849,15601,22.36,49.725855027994015,0.047947086,5.6649494,104.45952,14
288,0.12993980597,27518.681067705154,-0.07008414,0.5666089653968811,-0.1831285,15871,21.83,50.322716069192204,0.10526542,6.104284,67.87724,12
301,0.12924413511999996,28023.642954826355,-0.0804587,0.5931254923343658,-0.18567178,16125,21.2,50.81440774400133,0.0628105,6.1890593,54.482025,13
314,0.13751969167,28564.875198364258,-0.0908192,0.6138719320297241,-0.18255831,16367,20.24,48.89192811665016,0.058521077,6.085277,43.86264,13
327,0.14212346284000002,29050.13002896309,-0.06251593,0.7133623361587524,-0.17837423,16618,19.81,47.82470635816854,0.07575406,5.945808,40.744793,13
340,0.14506956581,29573.470239639282,-0.066650644,0.6505246162414551,-0.17810807,16887,19.89,47.251942988089105,0.05420482,5.9369354,51.931137,13
356,0.14860278947000002,30096.508446216583,-0.061534718,0.5868100523948669,-0.18063456,17148,19.3,46.63521665049439,0.08269123,6.021152,77.970566,16
369,0.14782665235,30599.559438228607,-0.08582941,0.7157834470272064,-0.17504106,17405,19.2,46.81855643570449,0.1311264,5.8347025,39.48606,13
383,0.14960224893,31128.534607172012,-0.09252576,0.6913202702999115,-0.17510426,17647,18.68,46.617503113528386,0.08167651,5.836809,57.31089,14
