loss_pol_entpen,loss_kl,EpLenMean,loss_pol_surr,ev_tdlam_before,EpThisIter,TimestepsSoFar,loss_vf_loss,TimeElapsed,EpRewMean,EpisodesSoFar,EpExecMean,loss_ent
-0.10193114,0.049971934,42.83673469387755,-0.039933722,-0.02211940288543701,0,2099,22.167736,756.5972855091095,28.638638166563453,49,0.02610283765306123,3.3977048
-0.098865956,0.030079063,42.83673469387755,-0.028372757,-0.022324681282043457,0,2099,19.738567,757.114673614502,28.638638166563453,49,0.02610283765306123,3.295532
-0.09915048,0.037321985,42.83673469387755,-0.034818348,-0.022676944732666016,0,2099,17.581497,757.6505794525146,28.638638166563453,49,0.02610283765306123,3.305016
-0.098604806,0.04613276,42.83673469387755,-0.052471265,-0.022974848747253418,0,2099,15.600913,758.1756734848022,28.638638166563453,49,0.02610283765306123,3.2868268
-0.09702457,0.023226537,42.83673469387755,-0.025233526,-0.02340519428253174,0,2099,13.815844,758.6883087158203,28.638638166563453,49,0.02610283765306123,3.2341523
-0.098191574,0.050740693,42.83673469387755,-0.03759026,-0.023874998092651367,0,2099,12.231892,759.1829271316528,28.638638166563453,49,0.02610283765306123,3.2730525
-0.09392554,0.043714937,42.83673469387755,-0.041053157,-0.02430438995361328,0,2099,10.798669,759.7015872001648,28.638638166563453,49,0.02610283765306123,3.1308515
-0.09183735,0.055624608,42.83673469387755,-0.041739512,-0.024813055992126465,0,2099,9.517916,760.1916084289551,28.638638166563453,49,0.02610283765306123,3.061245
-0.09043078,0.031004144,42.83673469387755,-0.029188152,-0.025338172912597656,0,2099,8.36177,760.6679339408875,28.638638166563453,49,0.02610283765306123,3.0143595
-0.09243721,0.03645986,153.48,-0.034092452,0.7267653346061707,1,7674,205.9053,763.0288076400757,-81.35737439564866,50,0.025758289500000003,3.0812404
-0.1183103,0.12147034,152.23529411764707,-0.09744116,0.569103866815567,1,7764,84.67854,820.1875011920929,-79.38891813750728,51,0.02531184511764706,3.9436767
-0.10079519,0.13584626,145.25,-0.0866961,-0.027437806129455566,5,8134,168.6063,865.3092663288116,-71.24892723366186,56,0.02375053616071429,3.3598397
-0.11016029,0.053328622,141.64406779661016,-0.043527864,0.3312861919403076,3,8357,60.72084,892.2581624984741,-66.34113783323784,59,0.02286173210169492,3.6720097
-0.10317639,0.08448264,141.13333333333333,-0.06749341,0.21311867237091064,1,8468,59.479424,910.191085100174,-65.41976547111223,60,0.022632880416666668,3.4392135
-0.10555539,0.058727384,141.7258064516129,-0.046578888,0.12292540073394775,2,8787,77.11961,930.0192220211029,-65.06374841287396,62,0.022061560403225808,3.5185134
-0.1016284,0.061629374,139.1060606060606,-0.07307483,0.2936118245124817,4,9181,109.03723,955.5001192092896,-61.039670514978894,66,0.021040163909090907,3.3876133
-0.10332714,0.121945076,127.86486486486487,-0.0922444,0.4303436875343323,8,9462,88.93029,1019.9111647605896,-48.21014630778766,74,0.019394931027027027,3.4442382
-0.09365143,0.09362525,114.4235294117647,-0.08381222,0.4769493341445923,11,9726,99.77432,1072.2552568912506,-33.304302418058384,85,0.01776984101176471,3.1217144
-0.10887636,0.09441911,103.90625,-0.096872255,0.7519704848527908,11,9975,53.8433,1131.307300567627,-21.47718090770817,96,0.016375201229166667,3.6292124
-0.099759996,0.1012004,99.44,-0.08787702,0.6667110025882721,11,10233,92.729294,1193.1269652843475,-12.676820921614713,107,0.012679006159999999,3.325333
-0.093459204,0.06602221,92.29,-0.07759271,0.8673006445169449,20,10488,67.7053,1274.6207013130188,-1.5058735838610022,127,0.00930234561,3.1153069
-0.08620343,0.053974442,28.03,-0.06516668,0.46240586042404175,25,10740,184.70062,1353.107569694519,63.28290988802446,152,0.007624872559999998,2.873448
-0.09078128,0.05874395,13.62,-0.072480455,0.6809028089046478,29,11007,93.58174,1446.9447486400604,76.84680781554391,181,0.00777557397,3.026043
-0.09155433,0.056790855,9.69,-0.06403279,0.9047798290848732,32,11264,60.03655,1540.418429851532,80.73135692578211,213,0.00812868519,3.0518112
-0.09550101,0.060486138,8.31,-0.046298075,0.851546123623848,33,11513,103.06541,1645.8278777599335,82.43837023380149,246,0.008141851649999999,3.1833673
-0.09506179,0.05482365,8.16,-0.06141538,0.928544782102108,28,11770,39.887035,1749.2891194820404,82.94838105796747,274,0.008363942749999999,3.168726
-0.09425758,0.0463706,7.85,-0.04397542,0.8767096102237701,36,12028,74.80348,1876.829666376114,82.3981560497489,310,0.00848045901,3.1419191
-0.09349687,0.046108924,7.89,-0.058040652,0.9222576841711998,33,12287,45.360893,1992.8312220573425,80.31861466003811,343,0.00904113787,3.1165624
-0.091712624,0.07746397,8.05,-0.07114218,0.9054567888379097,25,12530,30.692257,2100.9724786281586,79.65860637969995,368,0.00927943425,3.0570874
-0.08981012,0.06250088,8.71,-0.064271465,0.9299146458506584,29,12791,31.60337,2223.2434434890747,80.37628090139408,397,0.008824994479999999,2.9936707
-0.08238331,0.0771725,8.5,-0.058963075,0.9510995112359524,35,13047,31.755125,2383.1503677368164,79.44828231448845,432,0.008047046300000003,2.7461104
-0.08022315,0.086107805,7.66,-0.07404731,0.961454551666975,37,13312,31.721699,2514.1837165355682,83.34859758196465,469,0.0077989917100000005,2.6741052
-0.07285914,0.18216501,7.03,-0.009654949,0.9475954808294773,37,13566,40.567646,2656.0809156894684,83.40034076180997,506,0.00792156249,2.428638
-0.067214526,0.26653674,8.31,-0.03987048,0.8150599747896194,7,13749,30.832825,2676.032723903656,82.99346197753742,513,0.008033311349999999,2.2404842
-0.07859895,0.047626406,8.83,-0.06353913,0.9506512321531773,39,14078,32.43978,2803.283034324646,81.89601878791464,552,0.008238027379999999,2.619965
-0.0795331,0.039226398,9.01,-0.044901,0.9446519948542118,36,14333,43.998543,2948.134705066681,81.69253996148642,588,0.00843878334,2.6511035
-0.0813615,0.07483069,7.11,-0.058067843,0.971015814691782,34,14592,23.37344,3094.074976682663,83.6805141275457,622,0.00806742187,2.7120502
-0.078934774,0.09590691,7.63,-0.07172678,0.960250947624445,30,14841,25.770239,3224.6338272094727,84.85394274313832,652,0.0076767569599999995,2.631159
-0.07399702,0.0704261,7.83,-0.06578629,0.964952364563942,34,15104,20.603163,3372.4523301124573,83.83439114785618,686,0.007969091569999998,2.4665673
-0.071306884,0.08268218,7.41,-0.06786088,0.97742785140872,39,15359,23.853903,3527.190738916397,84.78056005881758,725,0.0069090628999999995,2.3768961
-0.07701485,0.042174768,7.35,-0.037747797,0.9442255944013596,33,15615,37.05859,3693.835972070694,82.51721115115302,758,0.00696896996,2.5671616
-0.07667907,0.039970286,7.16,-0.058632948,0.9511651955544949,34,15868,37.222527,3842.254012107849,83.25402294812483,792,0.0070752537700000005,2.5559692
-0.0745091,0.046475284,7.7,-0.052183438,0.9430113062262535,32,16124,30.91906,4002.241034269333,82.54264083160153,824,0.00733968891,2.4836366
-0.07284693,0.057244368,7.35,-0.049712144,0.9728219509124756,38,16382,19.13593,4171.172261714935,83.2214832426086,862,0.0069219067600000015,2.4282308
-0.07075616,0.09276165,6.66,-0.046301365,0.9806316494941711,39,16638,18.754124,4333.943953037262,85.13269796404978,901,0.005852155529999999,2.3585389
