EpThisIter,EpLenMean,loss_ent,loss_pol_entpen,loss_vf_loss,EpRewMean,loss_pol_surr,EpExecMean,TimeElapsed,ev_tdlam_before,EpisodesSoFar,loss_kl,TimestepsSoFar
2,241.6904761904762,6.575543,-0.19726628,53.69832,-193.7044583923788,-0.10645128,0.2846426710714286,18602.97722387314,0.17917340993881226,42,0.08120647,10151
1,241.62790697674419,6.6979923,-0.20093976,9.539457,-194.0748160101563,-0.15939125,0.2850499793953489,19107.07780599594,0.24198627471923828,43,0.16028163,10390
3,233.56521739130434,6.7616825,-0.20285048,93.8018,-186.48959469081998,-0.1339539,0.28577795652173915,19676.710518598557,0.07163143157958984,46,0.07329135,10744
0,233.56521739130434,6.616682,-0.19850045,5.480064,-186.48959469081998,-0.120160855,0.28577795652173915,20158.349224328995,0.9417435452342033,46,0.07445288,10744
1,237.5744680851064,6.874676,-0.20624028,113.065125,-189.35346924012717,-0.13907744,0.2834599407659575,20645.718719005585,0.43758976459503174,47,0.05796261,11166
1,238.47916666666666,6.3916597,-0.19174978,15.980688,-189.20724109771427,-0.1493722,0.28050373214583335,21273.714018821716,0.4364803433418274,48,0.092299104,11447
1,236.0204081632653,6.621312,-0.19863935,18.256226,-186.93770556510788,-0.109066844,0.28129557602040817,21767.703111171722,0.4000400900840759,49,0.10660633,11565
1,237.2,6.701107,-0.2010332,6.1891747,-188.33895145380572,-0.16153574,0.28201717140000004,22317.607058286667,0.4037210941314697,50,0.07709287,11860
2,234.57692307692307,6.636326,-0.19908977,7.9851193,-186.26653798029233,-0.13426884,0.2829034550192308,22789.55331802368,0.11519110202789307,52,0.117981195,12198
3,226.8909090909091,6.6027827,-0.19808348,13.869358,-178.5559140334106,-0.14787042,0.28233300801818184,23228.916686296463,0.4904823303222656,55,0.084700376,12479
4,216.67796610169492,6.772094,-0.20316282,9.392499,-169.54174602169854,-0.13114494,0.28471347338983055,23624.50780892372,0.6973019540309906,59,0.104152866,12784
4,206.04761904761904,6.791793,-0.20375377,33.54714,-160.36282859185138,-0.1379536,0.28674771396825394,24143.230355262756,0.2467014193534851,63,0.12475461,12981
5,195.16176470588235,6.6493125,-0.19947937,23.937,-150.97112516382168,-0.15860936,0.28898320252941173,24605.612493753433,0.6539041697978973,68,0.1218633,13271
5,185.78082191780823,6.5562353,-0.19668706,9.321229,-142.67639558201316,-0.1472938,0.28995554808219176,25152.75087094307,0.7223705053329468,73,0.1467633,13562
4,179.23376623376623,6.5844193,-0.19753258,13.701246,-136.8128135646287,-0.12594688,0.2911571013766234,25679.366487026215,0.6165359616279602,77,0.10250756,13801
5,171.59756097560975,6.519414,-0.19558242,6.489506,-129.68009619065649,-0.13795245,0.2911686256219512,26231.77723121643,0.7748749256134033,82,0.10726823,14071
6,162.48863636363637,6.469352,-0.19408056,20.303816,-121.93060765220945,-0.13041851,0.2929673180454545,26849.142543554306,0.44926053285598755,88,0.15846562,14299
6,155.0744680851064,6.5207176,-0.1956215,50.042004,-114.9145381424259,-0.1278615,0.29214890747872335,27325.71271586418,0.09800755977630615,94,0.1979326,14577
10,144.33,6.5581427,-0.19674426,31.682291,-105.04411300498188,-0.14375533,0.29150730555,27890.771550178528,-0.07452332973480225,104,0.15268484,14833
10,125.96,6.457486,-0.19372457,33.666412,-88.32880908951236,-0.121537566,0.28928768876999994,28461.991315841675,0.03937405347824097,114,0.10072847,15066
12,93.41,6.516439,-0.19549316,56.045444,-60.43692819655215,-0.11995903,0.2938284072799999,28981.7685546875,-0.0383753776550293,126,0.13326487,15354
13,59.39,6.2515373,-0.1875461,44.889946,-30.334742660634074,-0.09744622,0.2923999239299999,29533.143545389175,-0.007349491119384766,139,0.13215566,15606
12,37.5,6.322869,-0.18968605,89.853,-9.150637092951415,-0.13497427,0.28721284042999995,30089.82101416588,0.06582140922546387,151,0.20961994,15867
6,34.67,6.1959615,-0.18587884,58.661472,-5.5490969776578085,-0.12869063,0.28253804622,30627.201065778732,0.3795393705368042,157,0.12365885,16109
8,32.4,6.2235284,-0.18670583,80.69933,-1.093414133866289,-0.11010903,0.27364187373,31187.499613761902,0.30892062187194824,165,0.110857986,16366
6,31.82,6.1685934,-0.1850578,41.06247,1.7156184708593845,-0.09862997,0.26660061241,31604.842794656754,0.5144398212432861,171,0.0936231,16614
