loss_pol_entpen,EpThisIter,EpLenMean,TimeElapsed,ev_tdlam_before,loss_vf_loss,TimestepsSoFar,loss_ent,EpExecMean,loss_kl,EpisodesSoFar,loss_pol_surr,EpRewMean
-0.15707716,16,32.52,36992.70994019508,0.6800120770931244,60.860397,12264,5.2359056,0.10128071245,0.1531572,182,-0.12309432,41.278929715112284
-0.1614767,16,27.32,37777.46123766899,0.6675438284873962,87.774124,12537,5.3825574,0.10687906615,0.11894588,198,-0.09292586,43.985774562670834
-0.1619661,16,21.01,38651.92482686043,0.6968966722488403,81.51999,12791,5.3988695,0.11078918006,0.08881271,214,-0.108229704,48.6248217947462
-0.17586526,10,20.4,39545.47870850563,0.7086746394634247,48.35809,13049,5.8621755,0.11354887526,0.11565548,224,-0.08538347,48.45262663952966
-0.16893278,15,18.75,40441.4469397068,0.5525748431682587,119.88411,13308,5.631093,0.11768081338000001,0.07353528,239,-0.09565665,48.59011711576327
-0.1657358,14,18.06,41295.788231134415,0.7352972328662872,76.23051,13564,5.524526,0.11234927573999999,0.097290576,253,-0.11068163,50.943092849161374
-0.16094887,16,17.66,42188.42518544197,0.7889241576194763,63.23495,13823,5.3649626,0.10468673987,0.10235745,269,-0.104809344,53.81374181680187
-0.1718111,18,17.07,43097.18015265465,0.603576123714447,126.12957,14068,5.7270374,0.10147396257,0.13618745,287,-0.0789521,55.42148351621795
-0.16503914,13,17.65,43964.27838683128,0.6019376516342163,126.51709,14321,5.501304,0.09967167122000001,0.12161467,300,-0.114735775,55.66730460292105
-0.18593028,9,19.08,44812.59305214882,0.5252237617969513,66.482574,14591,6.197676,0.09936721001,0.1420055,309,-0.11799872,54.676267402082864
-0.18903907,6,20.17,45670.50505185127,0.32138532400131226,71.84312,14840,6.3013024,0.10443703417000001,0.09229394,315,-0.11959329,52.09835964354825
-0.17705494,8,20.79,46519.38749170303,0.5628805160522461,73.06776,15091,5.9018316,0.1057304654,0.12313998,323,-0.15175483,51.14311689963283
-0.17791483,9,21.4,47371.96645402908,0.670638233423233,51.64395,15346,5.9304943,0.10458902138000001,0.119273156,332,-0.11875595,50.994134591199284
-0.1714866,9,22.02,48153.52011299133,0.6572239398956299,64.03802,15579,5.7162204,0.10454022047999997,0.089041166,341,-0.12478801,50.59999695233756
-0.16871592,12,22.83,49070.020591259,0.5013875961303711,158.29985,15847,5.623864,0.10408862675,0.11941651,353,-0.110397816,49.99678405735078
-0.17667754,10,23.93,49922.67377328873,0.7751777172088623,58.52779,16122,5.889251,0.10485620552000001,0.10709718,363,-0.114608616,48.89728841993811
-0.16663781,12,24.8,50737.6939125061,0.668622612953186,84.92016,16373,5.5545936,0.10300167081,0.074472025,375,-0.094353944,48.9100908132031
-0.16332743,14,25.13,51632.27661538124,0.7981566935777664,57.517597,16635,5.444248,0.09912534548999999,0.08004527,389,-0.095992416,50.07006085710148
-0.1630625,15,24.4,52462.3169157505,0.8120332211256027,58.02808,16889,5.435416,0.09847191602,0.103226855,404,-0.093868025,50.8924531332999
-0.13638979,17,20.92,53211.31277680397,0.7729602158069611,93.27316,17147,4.5463266,0.08825516641,0.06185415,421,-0.07397985,57.14573478801374
-0.1698226,14,20.0,54119.05497288704,0.8342253714799881,49.48941,17401,5.6607537,0.08275352965999999,0.06672333,435,-0.08020003,59.80399994255201
-0.16338232,18,18.17,55027.27715277672,0.7323065400123596,74.194885,17664,5.4460773,0.08353359322000001,0.09276046,453,-0.09281404,60.85640260476491
-0.15315668,16,16.91,55890.364132881165,0.8158365339040756,61.855564,17920,5.1052227,0.08329418078000002,0.07609396,469,-0.08490657,62.00422179630184
-0.15911368,16,16.18,56791.3890311718,0.8341087847948074,58.109257,18168,5.303789,0.08044496299000001,0.071358554,485,-0.08344501,63.45916423966453
-0.15499914,18,15.56,57753.081634521484,0.8305704146623611,55.72164,18422,5.166638,0.08297921751000001,0.07721774,503,-0.09152208,62.66364383508141
-0.15622087,20,14.99,58697.46111154556,0.7430661916732788,95.22128,18675,5.2073627,0.08770745076000001,0.056549437,523,-0.084549926,61.68566433965894
-0.16803493,9,15.94,59553.489055633545,0.6647813320159912,70.6649,18931,5.6011643,0.09021871773,0.09737742,532,-0.13160361,59.9593961234424
-0.14290315,13,16.43,60335.34189963341,0.7326244413852692,92.28143,19184,4.7634387,0.08898999441,0.057934366,545,-0.10140673,60.202826901623695
-0.14837572,16,16.54,61166.19068431854,0.8676519989967346,54.911766,19431,4.9458575,0.0828702281,0.08532019,561,-0.08992805,62.122010365270256
-0.13470763,19,15.77,62055.34891676903,0.8056480884552002,93.65776,19702,4.4902544,0.08186714943000002,0.056424305,580,-0.07399249,63.04922756773826
-0.16878723,11,16.81,62958.17626166344,0.6360564529895782,119.021576,19944,5.6262407,0.08241654751,0.074884534,591,-0.10941891,61.847177696751004
-0.16039802,14,17.78,63837.235755205154,0.856560543179512,54.563602,20218,5.3466005,0.08140051259,0.072415635,605,-0.099876426,61.5323894303548
-0.14544329,21,16.46,64684.45255160332,0.6720881760120392,123.07653,20479,4.84811,0.07634285197,0.11275895,626,-0.08236082,64.46504183511705
-0.15867689,21,15.11,65627.24367666245,0.771633192896843,115.2767,20734,5.28923,0.08302651548000002,0.08292073,647,-0.07617938,63.41256787823649
-0.17137542,7,16.1,66345.18739962578,0.42484039068222046,109.020966,20971,5.7125144,0.08732618864,0.07428563,654,-0.11491777,61.06499184089971
-0.17024714,13,16.88,67195.78433990479,0.8309464156627655,63.81896,21236,5.6749043,0.08373527531000001,0.07332604,667,-0.10742149,61.72219088962026
-0.16616893,12,18.03,68132.28122091293,0.6568772494792938,67.72938,21498,5.5389643,0.09084877489999998,0.06601564,679,-0.1098398,58.34000198626904
-0.13981418,17,17.22,68994.1783797741,0.826032817363739,93.0438,21745,4.660473,0.08720715119000001,0.06406538,696,-0.09910658,60.333684058069466
-0.14951839,21,16.36,70011.8425180912,0.8841776624321938,57.542564,22007,4.983947,0.08181608922999999,0.070070654,717,-0.06668314,63.19630286966826
-0.15869798,17,16.94,70983.52496552467,0.8560808449983597,56.25474,22268,5.2899327,0.07837217364,0.06899034,734,-0.07122077,63.96572142175062
-0.16625722,12,18.03,71868.53897309303,0.9136492684483528,26.995945,22521,5.541908,0.07771555661999999,0.10938893,746,-0.08388336,63.25914978681722
-0.1582393,13,16.93,72774.80327367783,0.7235820591449738,55.552242,22763,5.2746434,0.07611086584,0.09669857,759,-0.110161334,64.87074231211122
-0.15262258,12,17.18,73555.96212363243,0.7000057697296143,90.813446,23034,5.0874195,0.07722753437,0.100111075,771,-0.10268976,64.13777770501163
-0.15665826,14,16.53,74387.95590806007,0.7459090054035187,59.77755,23264,5.221942,0.07861381886,0.10566718,785,-0.09685482,64.3071764820676
-0.15095133,20,16.88,75381.02293372154,0.6448405683040619,126.49924,23549,5.0317106,0.08939790742999998,0.102507286,805,-0.08980486,60.451890566347075
-0.15964116,15,17.49,76274.10161709785,0.6393439769744873,94.82768,23799,5.321372,0.09371991585999999,0.07797913,820,-0.12435359,58.28705461948277
-0.15304226,13,17.95,77105.65139484406,0.7255003452301025,103.56109,24049,5.1014085,0.09456604510000002,0.08005515,833,-0.10187721,57.47202674961698
-0.1488104,21,16.57,78025.09385633469,0.727787971496582,143.36151,24318,4.9603467,0.09470207845000003,0.16100283,854,-0.08798659,58.52781014450212
-0.16452765,11,16.74,79019.55746173859,0.8584538996219635,32.901886,24562,5.484256,0.09446971648,0.06395698,865,-0.1039785,58.563337634424244
-0.15488422,11,16.89,79887.2609372139,0.8504920899868011,53.55722,24823,5.1628065,0.08915306415,0.05958586,876,-0.10956617,60.25147501109378
-0.146599,12,17.5,80758.98118805885,0.8828381225466728,43.752636,25077,4.886634,0.07834626044999998,0.055272847,888,-0.096824795,63.02128939128177
-0.13474628,19,17.59,81709.96127200127,0.9215400591492653,42.730927,25338,4.491543,0.06540536829999999,0.04891439,907,-0.077715196,67.24762789599728
-0.13054602,22,16.27,82701.08401989937,0.9272484481334686,43.080368,25589,4.3515344,0.05562425997,0.06804855,929,-0.072597675,71.90690271804054
-0.1411264,19,15.91,83715.35003995895,0.9569736123085022,20.67191,25844,4.704213,0.05147155733,0.05320695,948,-0.06551017,73.74670710639299
-0.16234702,7,17.7,84297.97534537315,0.7197629511356354,66.91112,26100,5.4115667,0.05516481746,0.5512076,955,-0.0996857,70.84650938314006
