EpisodesSoFar,EpRewMean,EpLenMean,EpThisIter,loss_ent,TimeElapsed,loss_pol_entpen,loss_kl,loss_pol_surr,EpExecMean,ev_tdlam_before,TimestepsSoFar,loss_vf_loss
609,78.65490788582024,6.1,39,3.1182308,8649.90760231018,-0.09354692,0.065147,-0.06690006,0.033910022969999995,0.8127112984657288,7411,182.0227
639,72.94138141300569,6.97,30,3.2045226,8922.600090742111,-0.096135676,0.030182784,-0.040320028,0.03996397506,0.7047179937362671,7674,221.01965
679,70.87112846508583,7.2,40,2.7309556,9278.54605293274,-0.08192866,0.064525425,-0.056122217,0.04135335498000001,0.8737713247537613,7932,153.36133
749,82.21274487307139,4.45,70,2.6293077,9814.047466754913,-0.07887923,0.06275456,-0.076345734,0.018764381950000002,0.8019881695508957,8185,301.28647
793,79.40709823294719,4.51,44,2.9369936,10138.371860027313,-0.088109806,0.04081022,-0.055029064,0.03590669664,0.6786773204803467,8440,138.2962
858,74.07369251050274,4.76,65,2.9276726,10626.725230932236,-0.08783018,0.072336026,-0.049036182,0.036627285499999995,0.8375528007745743,8702,269.8441
906,72.61333325522757,4.71,48,3.199744,11005.625943183899,-0.09599231,0.031815466,-0.045406863,0.02058025819,0.8555005788803101,8958,168.04776
944,74.63086478123165,5.69,38,2.939264,11366.670834064484,-0.08817792,0.070795126,-0.05007746,0.02788129139,0.8876810297369957,9216,110.692894
985,74.49095343197654,6.06,41,2.8340936,11673.723007202148,-0.08502281,0.09183864,-0.047986813,0.0412968577,0.7145249247550964,9463,195.29419
1035,77.22565856586344,5.79,50,3.0739508,12050.636505842209,-0.09221852,0.063719094,-0.061328445,0.030933403630000002,0.8290117233991623,9718,251.73651
1085,78.04454363252157,5.16,50,3.011963,12484.838843345642,-0.09035888,0.06681153,-0.048113186,0.034737120510000004,0.8355314582586288,9979,237.45035
1133,76.83142388706614,5.26,48,3.0525327,12886.479454994202,-0.09157598,0.060462046,-0.048618846,0.03607120078000001,0.8864195197820663,10240,125.58268
1171,79.78018756347204,5.37,38,3.100818,13258.041185855865,-0.09302454,0.043529727,-0.062464096,0.03017787877,0.7976694107055664,10460,196.67569
1207,81.61444861961898,6.45,36,3.0761347,13596.159185647964,-0.09228403,0.057045195,-0.060584255,0.020680301599999996,0.8812261447310448,10748,66.29103
1259,83.42784720249384,6.21,52,2.776604,14038.022961616516,-0.08329812,0.029199399,-0.045717232,0.01186953589,0.936275489628315,11005,85.37468
1307,83.71662537992358,4.9,48,2.4368038,14435.661081790924,-0.073104106,0.05218598,-0.0406122,0.00884755945,0.9426082670688629,11238,80.24743
1371,78.83415349911958,4.53,64,2.4676018,14975.786491155624,-0.07402805,0.02827366,-0.04079473,0.00944081368,0.8325957506895065,11520,154.59804
1437,74.9268897045965,3.74,66,2.7265956,15506.927404165268,-0.081797875,0.03519333,-0.041067056,0.01889019824,0.9407131597399712,11776,92.16398
1483,72.54881267421852,4.76,46,2.775393,15966.253534555435,-0.08326179,0.05640792,-0.045686208,0.02431460793,0.8017958700656891,12031,125.87442
1541,79.32203492137877,4.89,58,2.8031082,16571.048969745636,-0.08409325,0.05487436,-0.06254838,0.015151873599999999,0.8581685125827789,12285,196.39148
1584,78.38292937430005,5.08,43,2.8743358,16993.06746649742,-0.08623007,0.049383163,-0.05256558,0.025955498909999996,0.8508458584547043,12543,135.55795
1644,70.10851244857525,4.97,60,2.898731,17596.714277744293,-0.086961925,0.049935617,-0.048394434,0.01977120768,0.8985232636332512,12799,168.83914
1690,72.96810824803903,4.8,46,2.8368886,18079.011727809906,-0.085106656,0.050887562,-0.053801112,0.00898145848,0.9512268491089344,13042,36.2474
1751,80.13613169004911,4.46,61,2.453555,18594.174582242966,-0.07360665,0.039236546,-0.044691153,0.015294160659999998,0.897477313876152,13283,79.84238
1809,79.53020167317648,4.5,58,2.7459476,19110.295842409134,-0.082378425,0.029215712,-0.04897426,0.024784253690000004,0.9109491035342216,13568,125.419014
1869,77.88016524032055,4.27,60,2.5583687,19660.514906167984,-0.07675106,0.036735237,-0.04086767,0.01787293627,0.9581053145229816,13814,67.25859
1933,81.58031699737397,4.15,64,2.7366672,20289.96136879921,-0.08210002,0.07670746,-0.038420267,0.014302087590000002,0.9600186198949814,14079,64.02486
1979,79.55882003396572,4.68,46,2.7950425,20777.14109802246,-0.08385127,0.06828275,-0.05974458,0.011834324030000001,0.8251298069953918,14333,57.81836
2002,76.51103663391923,4.72,23,2.5867577,20976.797879457474,-0.07760273,0.18396223,-0.07202496,0.011712192609999998,0.7399879992008209,14431,42.846123
2032,74.79306524623973,7.7,30,2.533721,21211.980120897293,-0.07601163,0.051810935,-0.06558663,0.012606631099999998,0.8159837573766708,14847,38.34957
2101,79.2897037392451,6.76,69,2.217843,21704.125749349594,-0.066535294,0.023579104,-0.040290922,0.025111276429999996,0.9842478409409523,15104,30.791292
2180,79.8232385401501,3.2,79,2.3524475,22243.70615720749,-0.07057342,0.040162396,-0.04441658,0.01694985515,0.8952668905258179,15358,215.85727
2231,83.09772937207877,3.66,51,2.3749607,22658.468698978424,-0.07124882,0.025664246,-0.023003122,0.01128982816,0.9377324320375919,15561,87.94293
2308,74.20860411281478,4.01,77,2.3387182,23286.705540895462,-0.07016154,0.023930397,-0.03246134,0.024169830530000002,0.8448642492294312,15869,293.33124
2376,78.29579231119737,3.49,68,2.348751,23842.00491976738,-0.07046253,0.0159187,-0.026852746,0.01848884276,0.944159172475338,16128,92.45402
