loss_kl,ev_tdlam_before,TimestepsSoFar,loss_pol_surr,loss_vf_loss,EpLenMean,EpThisIter,EpExecMean,loss_ent,EpisodesSoFar,EpRewMean,loss_pol_entpen,TimeElapsed
0.31039953,0.7915617078542709,7165,-0.046477687,199.31238,6.01,43,0.00154070712,2.959691,624,70.94277698849777,-0.08879073,7175.120759725571
0.612394,0.8232941627502441,7416,-0.04085022,103.59473,7.06,25,0.0014011362600000006,2.6281555,649,69.76803739886265,-0.07884467,7446.289462327957
0.072351165,0.8613229095935822,7680,-0.051226385,309.74066,5.02,76,0.00099487861,2.5018666,725,72.0445683830905,-0.075056,7982.747177839279
0.049555108,0.8411479443311691,7935,-0.04006775,237.129,3.87,61,0.0012714969,2.734846,786,76.1063080429802,-0.082045384,8419.120641708374
0.03276417,0.4436357617378235,8180,-0.027214445,99.26124,5.86,17,0.0014024981200000002,1.9935454,803,76.41167309366107,-0.059806358,8603.992998361588
0.18125963,0.7626560181379318,8435,-0.07931699,235.0059,6.87,39,0.00150401234,2.747703,842,73.38829361346703,-0.08243109,8941.867146730423
0.009286298,0.496279239654541,8483,-0.022112262,61.986515,6.87,10,0.0015162464300000004,0.29946807,852,73.28152362701054,-0.008984042,9007.641764640808
2.6871219e-06,-0.2889059782028198,8483,-4.3213367e-07,10.366493,6.87,0,0.0015162464300000004,0.025014225,852,73.28152362701054,-0.0007504267,9014.924310922623
6.9694074e-06,-0.16758131980895996,8483,1.6018748e-07,6.748037,6.87,0,0.0015162464300000004,0.026890246,852,73.28152362701054,-0.00080670736,9021.29408288002
2.0592377e-06,-0.23390603065490723,8483,-7.3019415e-05,4.39523,6.87,0,0.0015162464300000004,0.027096745,852,73.28152362701054,-0.00081290235,9028.053094387054
9.812003e-07,-0.22340238094329834,8483,-2.0164996e-05,2.9622748,6.87,0,0.0015162464300000004,0.027520748,852,73.28152362701054,-0.0008256224,9034.394899368286
7.974771e-06,-0.21334099769592285,8483,3.5390258e-08,5.652299,6.87,0,0.0015162464300000004,0.029610602,852,73.28152362701054,-0.00088831806,9040.592467308044
