EpRewMean,EpLenMean,loss_vf_loss,ev_tdlam_before,TimestepsSoFar,EpThisIter,loss_pol_surr,loss_kl,loss_pol_entpen,EpExecMean,EpisodesSoFar,loss_ent,TimeElapsed
48.89213038161811,23.25,53.42266,0.6547501683235168,16606,11,-0.0776425,0.062706724,-0.1734383,0.13448007178,325,5.7812767,28430.077211618423
48.17024193747048,22.52,70.029724,0.5715526342391968,16869,12,-0.08505097,0.06979838,-0.1671842,0.13790344568,337,5.572807,28860.676976680756
48.35782627045575,21.42,56.87728,0.6998225450515747,17150,16,-0.092509955,0.10438108,-0.16984452,0.13932778255,353,5.6614847,29384.813127040863
47.6693795412921,20.63,43.83059,0.7242265939712524,17405,14,-0.08842117,0.04817403,-0.1683445,0.14300454618,367,5.6114826,29936.5328476429
47.93394584962412,20.08,53.846043,0.7102932333946228,17656,15,-0.07507706,0.049740218,-0.16856034,0.14325586932999998,382,5.618678,30481.839872837067
50.12171465025294,18.86,45.803146,0.7985470592975616,17916,17,-0.057823338,0.059870724,-0.16658424,0.1367858273,399,5.552808,30947.599079608917
49.84014635447326,18.49,55.690544,0.7175445556640625,18171,13,-0.05784165,0.048031382,-0.16744895,0.13836776451,412,5.5816317,31428.921406269073
51.18209663723808,17.03,45.27193,0.7683280408382416,18427,17,-0.072501734,0.086653724,-0.15862992,0.13615743525,429,5.2876644,31903.892727851868
52.90744611783466,16.58,37.23514,0.8372105211019516,18667,16,-0.063532665,0.060613,-0.15693259,0.13152740163999999,445,5.2310863,32387.602517843246
56.377841920050635,16.04,38.438637,0.8620776683092117,18941,19,-0.064768344,0.08963605,-0.15714538,0.1208417837,464,5.2381797,32884.01581478119
57.57378742567653,16.08,34.211525,0.8146438002586365,19192,13,-0.06387294,0.104096696,-0.16283377,0.11636886994000001,477,5.427792,33345.88655114174
58.233298947543844,16.8,22.22522,0.8111463785171509,19451,12,-0.07571539,0.09310687,-0.1689074,0.11428170088000002,489,5.630247,33855.314415216446
57.57045334871039,17.59,63.845726,0.6422600448131561,19675,10,-0.048683725,0.07741042,-0.12282198,0.11473976336,499,4.094066,34221.68918681145
57.12396022352218,18.75,65.40906,0.17260634899139404,19968,9,-0.061519653,0.037206206,-0.07881628,0.11202056076,508,2.6272092,34485.284771203995
56.64876904370248,19.47,94.23006,0.3433968424797058,20223,11,-0.08483349,0.08726853,-0.07513335,0.11048212278000002,519,2.504445,34729.098991155624
57.581524222026026,19.6,64.42544,0.7383110523223877,20470,17,-0.04656612,0.04984844,-0.13300747,0.10764039969,536,4.4335823,35207.35580968857
57.51765402373625,19.08,64.4841,0.7786382138729095,20730,19,-0.03019848,0.07610558,-0.13293737,0.10774547101000001,555,4.431246,35652.244401454926
57.98352204869113,19.19,49.58443,0.7555677592754364,20973,15,-0.051466458,0.06640232,-0.12594233,0.10572536214000001,570,4.198078,36030.731682777405
58.07810664033494,18.45,40.77057,0.8228123188018799,21239,16,-0.04072345,0.056014515,-0.15572491,0.10608483310999998,586,5.190831,36461.0321161747
59.224985589653464,15.7,41.6154,0.8072763234376907,21502,20,-0.054732718,0.05837754,-0.15232596,0.10925261506999999,606,5.077532,36965.04395341873
58.79204361978151,14.56,39.670982,0.8219955265522003,21750,18,-0.08111729,0.06454506,-0.1452612,0.11436725291,624,4.84204,37465.238727808
58.548715973458464,14.22,43.59314,0.8412259072065353,22015,20,-0.08769432,0.0994077,-0.1627923,0.11564283756,644,5.4264097,38051.147094488144
58.422329335647255,15.28,36.068394,0.8110784888267517,22258,11,-0.08942497,0.08080584,-0.16509038,0.11539560780999998,655,5.5030127,38556.38903951645
57.542855192953226,15.58,28.083591,0.7981826812028885,22511,14,-0.032930143,0.100975566,-0.14683098,0.11828954567,669,4.894366,39016.01258587837
58.01976371518604,15.56,23.317696,0.8884192407131195,22778,15,-0.044556476,0.16097975,-0.15866598,0.11716432297999999,684,5.288867,39488.7176258564
58.434946811612626,16.38,30.057886,0.7697653919458389,23029,13,-0.0544178,0.0853782,-0.14998785,0.11495411038000002,697,4.999595,39946.561732530594
57.094915842972895,18.19,64.16149,0.12778186798095703,23282,6,-0.014242576,2.2423093,-0.17469658,0.11396632766999999,703,5.8232193,40124.25798153877
49.734327377861135,17.84,70.78644,0.4619408845901489,23548,22,-0.078640096,0.11224687,-0.17059097,0.13814516984,725,5.686366,40734.35364031792
46.801814970295744,17.01,65.14836,0.4701133966445923,23803,23,-0.0979182,0.13197766,-0.1766834,0.14917804491999997,748,5.8894467,41295.88111495972
45.18617987061041,16.82,47.406906,0.6434627175331116,24056,14,-0.08385453,0.052129395,-0.1739296,0.1546761093,762,5.797653,41834.47649526596
43.077397322746,16.63,28.359365,0.76580910384655,24309,14,-0.103276566,0.07852442,-0.16921973,0.16197655582,776,5.6406574,42326.003250837326
42.99860700004374,16.67,37.91955,0.7867219746112823,24567,15,-0.07194144,0.07371506,-0.15949558,0.16205698644,791,5.3165193,42813.44205284119
44.67633159997767,15.34,54.122276,0.7232874929904938,24798,11,-0.06651019,0.056896724,-0.16483256,0.16143392886000002,802,5.494419,43278.55357027054
49.205366549168495,16.39,25.69525,0.8497638255357742,25071,12,-0.062410932,0.05614814,-0.17111583,0.14545318015,814,5.703861,43752.99742770195
53.136823651318245,17.76,20.651611,0.8766781017184258,25324,11,-0.064652346,0.06804095,-0.17731571,0.13118895284999998,825,5.9105244,44251.62218499184
55.23087217128372,18.53,27.463108,0.8815808966755867,25583,15,-0.079151556,0.06348519,-0.15713787,0.12299486826000004,840,5.2379293,44780.67175626755
55.8373688432861,20.18,31.232786,0.7523216307163239,25828,9,-0.08043805,0.41660178,-0.15790954,0.11791224986,849,5.2636514,45161.39567542076
56.42084397461376,20.41,57.543503,0.6032035052776337,26097,13,-0.09859336,0.17146733,-0.16814518,0.11525087093000001,862,5.6048393,45702.06635046005
56.83608784322528,21.49,38.68872,0.753969743847847,26368,10,-0.081923015,0.08558889,-0.14830229,0.1114920312,872,4.94341,46075.18642282486
